id,attr_time,attr_x,attr_y,attr_z
1,1436547648011,-9.456498,1.9967642,0.9900024
2,1436547648041,-9.432556,2.0015526,0.97982705
3,1436547648051,-9.4696665,2.0308816,0.9995792
4,1436547648073,-9.415796,2.03148,1.0013748
5,1436547648092,-9.389461,2.0446482,0.9959879
6,1436547648119,-9.4457245,2.0338743,0.97384155
7,1436547648134,-9.465476,2.0536265,0.97264445
8,1436547648156,-9.458893,2.0925324,0.97503865
9,1436547648176,-9.437943,2.0859482,0.97862995
10,1436547648196,-9.446322,2.082357,0.9876082
11,1436547648214,-9.452309,2.1057005,0.9840169
12,1436547648231,-9.408614,2.0991163,0.98461545
13,1436547648251,-9.452309,2.1260512,1.0103531
14,1436547648271,-9.370906,2.1272483,1.0103531
15,1436547648298,-9.337985,2.0817583,1.033098
16,1436547648318,-9.396643,2.0165164,1.0468647
17,1436547648338,-9.467272,1.951873,1.0953473
18,1436547648354,-9.455899,1.9428947,1.1162965
19,1436547648372,-9.463681,1.9662381,1.0953473
20,1436547648433,-9.384073,1.9782091,1.0630256
21,1436547648434,-9.452907,2.0003555,1.0247183
22,1436547648444,-9.504382,1.9806033,1.002572
23,1436547648457,-9.444528,2.0201077,1.0013748
24,1436547648485,-9.408015,2.0392613,1.0121487
25,1436547648492,-9.476251,2.0386627,1.0253168
26,1436547648523,-9.481039,2.0260932,0.9911995
27,1436547648531,-9.361329,2.0272903,0.99538934
28,1436547648554,-9.469068,2.0308816,1.0360907
29,1436547648575,-9.413403,1.9967642,1.0193313
30,1436547648593,-9.5253315,2.0171149,0.99179804
31,1436547648612,-9.422979,2.0458453,1.0085574
32,1436547648635,-9.406818,1.9458874,1.0606314
33,1436547648651,-9.413403,1.9752164,1.0672154
34,1436547648672,-9.433155,1.9829975,1.0516531
35,1436547648692,-9.394249,2.0177135,1.0462662
36,1436547648717,-9.370307,2.0045455,1.0534488
37,1436547648737,-9.485827,1.9865888,1.0618285
38,1436547648757,-9.461885,1.9608512,1.0839748
39,1436547648775,-9.433155,1.9590555,1.1061212
40,1436547648792,-9.448118,1.9440918,1.1486182
41,1436547648812,-9.382876,1.9829975,1.13964
42,1436547648833,-9.486425,1.9446903,1.158195
43,1436547648852,-9.403227,1.9554642,1.1629834
44,1436547648876,-9.381081,1.965041,1.1390414
45,1436547648921,-9.433753,1.9554642,1.1707647
46,1436547648922,-9.416395,1.9662381,1.1504139
47,1436547648940,-9.396643,1.9853917,1.1145009
48,1436547648954,-9.458294,1.9883845,1.1025299
49,1436547648973,-9.46009,2.0338743,1.0959458
50,1436547648992,-9.416994,2.0290859,1.0552444
51,1436547649012,-9.449316,2.0608091,1.0630256
52,1436547649035,-9.43495,2.0649989,1.1073183
53,1436547649056,-9.347562,2.094328,1.0833763
54,1436547649073,-9.380483,2.0811598,1.1127052
55,1436547649093,-9.424775,2.0632033,1.0941502
56,1436547649114,-9.4062195,2.083554,1.0534488
57,1436547649136,-9.372103,2.0979192,1.0307038
58,1436547649152,-9.449316,2.0135236,1.0522517
59,1436547649172,-9.544485,1.9919758,1.0450691
60,1436547649192,-9.483433,2.0009542,1.0672154
61,1436547649215,-9.458893,2.0296845,1.0911574
62,1436547649235,-9.388862,2.034473,1.0803835
63,1436547649258,-9.416994,2.0374656,1.0570401
64,1436547649275,-9.409811,2.0632033,1.0660183
65,1436547649293,-9.416395,2.0757728,1.0684125
66,1436547649313,-9.380483,2.079364,1.0827777
67,1436547649333,-9.430161,2.0620062,1.0995371
68,1436547649352,-9.449914,2.018312,1.1324574
69,1436547649372,-9.363723,2.0386627,1.1408371
70,1436547649426,-9.411008,1.9973627,1.1713632
71,1436547649427,-9.31524,2.030283,1.1971009
72,1436547649446,-9.439739,1.9812019,1.2090719
73,1436547649468,-9.388862,2.0254946,1.2186487
74,1436547649476,-9.436746,2.0404584,1.1821371
75,1436547649493,-9.371504,2.1003134,1.1408371
76,1436547649523,-9.450513,2.079364,1.1204864
77,1436547649533,-9.437345,2.0638018,1.1097125
78,1436547649555,-9.382876,2.0446482,1.1204864
79,1436547649587,-9.425972,2.0153193,1.134253
80,1436547649598,-9.44333,1.9620483,1.1767502
81,1436547649626,-9.417592,1.9255368,1.2078748
82,1436547649635,-9.423578,1.9572599,1.1785458
83,1436547649652,-9.492412,1.9422961,1.1569979
84,1436547649672,-9.46009,2.0003555,1.1779473
85,1436547649694,-9.440337,2.0272903,1.1629834
86,1436547649712,-9.369708,2.082357,1.1246762
87,1436547649732,-9.414599,2.0691888,1.0995371
88,1436547649752,-9.384073,2.0386627,1.1150994
89,1436547649772,-9.432556,2.0111294,1.1599907
90,1436547649794,-9.395446,1.9961656,1.1976994
91,1436547649812,-9.376292,1.9668367,1.2384008
92,1436547649832,-9.384073,1.9446903,1.2437878
93,1436547649852,-9.387066,1.9710265,1.2072762
94,1436547649887,-9.516354,2.0213048,1.1611878
95,1436547649899,-9.417592,2.087744,1.1013328
96,1436547649912,-9.406818,2.1021092,1.1168951
97,1436547649933,-9.399636,2.0883424,1.1534066
98,1436547649952,-9.391854,2.1015105,1.1498153
99,1436547649973,-9.370906,2.0709844,1.1623849
100,1436547649992,-9.377489,2.0207062,1.1976994
101,1436547650012,-9.485827,1.9835961,1.2252327
102,1436547650032,-9.397242,1.9985598,1.2138603
103,1436547650055,-9.40203,2.03148,1.2264298
104,1436547650073,-9.339182,2.0578163,1.2467805
105,1436547650093,-9.32362,2.0805612,1.2042835
106,1436547650112,-9.331401,2.0913353,1.1528081
107,1436547650134,-9.409213,2.1057005,1.1139023
108,1436547650156,-9.440337,2.0799627,1.1067197
109,1436547650176,-9.471462,2.0853498,1.1354501
110,1436547650196,-9.440936,2.03567,1.1546037
111,1436547650215,-9.409213,2.0087352,1.1575965
112,1436547650234,-9.428965,2.011728,1.1432313
113,1436547650252,-9.3822775,2.0536265,1.0570401
114,1436547650274,-9.479841,2.007538,1.091756
115,1436547650292,-9.442133,2.0398598,1.1001357
116,1436547650312,-9.41041,2.0500352,1.1216835
117,1436547650334,-9.39365,2.0488381,1.122282
118,1436547650354,-9.412206,2.0500352,1.1139023
119,1436547650373,-9.465476,2.0350714,1.1306617
120,1436547650393,-9.444528,2.043451,1.1073183
121,1436547650413,-9.4457245,1.9979613,1.1240777
122,1436547650436,-9.403826,1.9901801,1.1534066
