id,attr_time,attr_x,attr_y,attr_z
1,1436546010936,-0.014806861,0.06141852,-0.14982134
2,1436546010955,-0.001367826,0.047674052,-0.14646158
3,1436546010976,-0.0010623932,0.03698391,-0.14554527
4,1436546010997,-0.0022841236,0.03209699,-0.16203864
5,1436546011016,0.0077951527,0.023850309,-0.15867889
6,1436546011036,0.013903805,0.018047089,-0.15654086
7,1436546011056,0.0166527,0.015603628,-0.15654086
8,1436546011077,0.017568998,0.015603628,-0.14615615
9,1436546011097,0.016958132,0.01926882,-0.14401811
10,1436546011117,0.0166527,0.020795982,-0.13699317
11,1436546011137,0.0077951527,0.031180691,-0.12813562
12,1436546011157,0.003519096,0.042481698,-0.12721932
13,1436546011177,0.003519096,0.054088138,-0.12294327
14,1436546011197,-0.0044221524,0.058669627,-0.124165
15,1436546011217,0.0032136636,0.059280492,-0.11988894
16,1436546011241,0.0077951527,0.055004433,-0.111947685
17,1436546011301,0.012071209,0.051950112,-0.12721932
18,1436546011302,0.013903805,0.04492516,-0.13668773
19,1436546011303,0.020623323,0.041565403,-0.14279638
20,1436546011325,0.02612111,0.029042665,-0.15715171
21,1436546011334,0.020928755,0.024461174,-0.16784187
22,1436546011360,0.018485295,0.020185117,-0.18311349
23,1436546011375,0.02245592,0.021101415,-0.1916656
24,1436546011396,0.02276135,0.014992762,-0.18525152
25,1436546011416,0.028259138,0.0046080537,-0.16967446
26,1436546011435,0.032535195,0.0052189194,-0.1504322
27,1436546011455,0.031618897,0.017436223,-0.13974206
28,1436546011476,0.026426543,0.021406848,-0.12538673
29,1436546011497,0.024288515,0.030569825,-0.11836177
30,1436546011517,0.018485295,0.029042665,-0.12783019
31,1436546011538,0.018790727,0.028126366,-0.12905192
32,1436546011558,0.013598372,0.029958962,-0.167231
33,1436546011575,0.014209238,0.025377471,-0.18738955
34,1436546011597,0.02489938,0.016519926,-0.19655253
35,1436546011618,0.029786302,0.01682536,-0.18067002
36,1436546011638,0.043225337,0.023850309,-0.19807969
37,1436546011658,0.05391548,0.0088841105,-0.21060243
38,1436546011675,0.060329564,-0.00088973343,-0.1953308
39,1436546011698,0.054831777,-0.0051657893,-0.1681473
40,1436546011715,0.052388314,2.6565045e-05,-0.16264951
41,1436546011738,0.04261447,0.0027754586,-0.15073763
42,1436546011758,0.033756927,0.00766238,-0.14035292
43,1436546011779,0.031618897,0.011022139,-0.14004749
44,1436546011797,0.029786302,0.013771033,-0.14462899
45,1436546011818,0.023983082,0.02049055,-0.14157465
46,1436546011865,0.015430968,0.031180691,-0.14432354
47,1436546011866,0.0077951527,0.040954538,-0.14218552
48,1436546011904,0.0032136636,0.04859035,-0.14004749
49,1436546011905,0.00015933719,0.042481698,-0.1345497
50,1436546011915,-0.006865613,0.038816508,-0.14035292
51,1436546011935,-0.00991994,0.031180691,-0.13485514
52,1436546011955,-0.005643883,0.035762183,-0.11836177
53,1436546011975,-0.001367826,0.03637305,-0.10125755
54,1436546012017,-0.009614507,0.039427374,-0.1195835
55,1436546012018,-0.010836237,0.036678478,-0.13118994
56,1436546012036,-0.01572316,0.033929586,-0.14432354
57,1436546012055,-0.020304648,0.026904635,-0.14982134
58,1436546012078,-0.02396984,0.023239443,-0.15257023
59,1436546012129,-0.021220947,0.024766607,-0.16020605
60,1436546012130,-0.02152638,0.022934012,-0.1635658
