id,attr_time,attr_x,attr_y,attr_z
1,1436546010932,-0.02687807,0.05497787,0.018936822
2,1436546010951,-0.019242255,0.03604105,0.029932396
3,1436546010972,-0.020158553,0.023518313,0.03390302
4,1436546010992,-0.026267206,0.03726278,0.032986723
5,1436546011009,-0.028099801,0.03481932,0.02443461
6,1436546011032,-0.020463986,0.020463986,0.020158553
7,1436546011052,-0.02076942,-0.00061086525,0.02321288
8,1436546011072,-0.02107485,-0.021991149,0.015271631
9,1436546011092,-0.031154128,-0.014660766,0.0067195175
10,1436546011112,-0.030543262,-0.010079277,0.007330383
11,1436546011133,-0.030543262,-0.01038471,0.0036651916
12,1436546011152,-0.032070424,-0.010995574,0.0021380284
13,1436546011171,-0.03268129,-0.020158553,-0.0021380284
14,1436546011199,-0.03145956,-0.022907447,-0.008246681
15,1436546011262,-0.03176499,-0.016798794,-0.014660766
16,1436546011263,-0.032986723,-0.0018325958,-0.0030543262
17,1436546011264,-0.0290161,0.01282817,0.0030543262
18,1436546011283,-0.028710667,0.022602014,0.0125227375
19,1436546011292,-0.01985312,0.013439035,0.01740966
20,1436546011312,-0.017715093,-0.0036651916,0.018936822
21,1436546011340,-0.018325957,-0.009162978,0.029932396
22,1436546011350,-0.016493361,-0.005497787,0.02687807
23,1436546011374,-0.019242255,0.0070249503,0.018325957
24,1436546011394,-0.02687807,0.025045475,0.00580322
25,1436546011412,-0.027183503,0.026572637,0.0021380284
26,1436546011431,-0.030543262,0.029932396,-0.0021380284
27,1436546011455,-0.034513887,0.018936822,-0.004886922
28,1436546011471,-0.029626964,0.00030543262,-0.006414085
29,1436546011490,-0.02443461,-0.029932396,-0.009162978
30,1436546011510,-0.02443461,-0.050396383,-0.006414085
31,1436546011535,-0.02687807,-0.046731193,-0.005192355
32,1436546011557,-0.029932396,-0.023518313,-0.007941248
33,1436546011572,-0.025961773,-0.008552114,-0.005192355
34,1436546011593,-0.028099801,0.018325957,0.002443461
35,1436546011611,-0.029321533,0.04795292,-0.0018325958
36,1436546011630,-0.027183503,0.04795292,-0.0036651916
37,1436546011650,-0.024129177,0.034513887,0.0027488936
38,1436546011672,-0.019242255,0.008552114,0.002443461
39,1436546011691,-0.03023783,0.004886922,-0.008552114
40,1436546011745,-0.03481932,0.0030543262,-0.011301007
41,1436546011758,-0.032070424,-0.018020526,-0.0027488936
42,1436546011759,-0.024129177,-0.038179077,-0.005497787
43,1436546011790,-0.030848695,-0.04428773,-0.014049901
44,1436546011791,-0.031154128,-0.03604105,-0.010995574
45,1436546011810,-0.02443461,-0.008552114,-0.016187929
46,1436546011834,-0.019547688,0.018020526,-0.018936822
47,1436546011852,-0.02443461,0.047036625,-0.015271631
48,1436546011875,-0.03756821,0.10781772,-0.019547688
49,1436546011895,-0.048563786,0.1518,-0.016493361
50,1436546011912,-0.041233405,0.1151481,-0.0027488936
51,1436546011931,-0.030848695,0.0580322,0.01160644
52,1436546011955,-0.017715093,-0.03940081,0.012217305
53,1436546011971,-0.01160644,-0.12034045,0.01038471
54,1436546011991,-0.0106901415,-0.15057829,0.01740966
55,1436546012010,-0.0027488936,-0.15271631,0.025961773
56,1436546012033,0.00030543262,-0.13500121,0.019242255
