id,attr_time,attr_x,attr_y,attr_z
1,1436546581515,-0.020251527,-0.026904631,-0.008857556
2,1436546581534,-0.020251527,-0.023239441,-0.018325968
3,1436546581556,-0.022084124,-0.034235016,-0.023823753
4,1436546581576,-0.02636018,-0.03637304,-0.024129186
5,1436546581596,-0.03002537,-0.03484588,-0.029626973
6,1436546581616,-0.028498208,-0.03820564,-0.040622547
7,1436546581636,-0.023305854,-0.03790021,-0.034513894
8,1436546581656,-0.023611287,-0.035151314,-0.027183514
9,1436546581676,-0.027276479,-0.03362415,-0.027488947
10,1436546581696,-0.02971994,-0.03118069,-0.02779438
11,1436546581716,-0.030636236,-0.03637304,-0.030543271
12,1436546581736,-0.0330797,-0.035762176,-0.0326813
13,1436546581754,-0.026665613,-0.03637304,-0.021380294
14,1436546581774,-0.022084124,-0.04370343,-0.014660776
15,1436546581805,-0.024222152,-0.043397993,-0.011606449
16,1436546581858,-0.02055696,-0.039121937,-0.011911882
17,1436546581859,-0.020862393,-0.040954534,-0.02199116
18,1436546581860,-0.019946095,-0.042481698,-0.020158563
19,1436546581882,-0.022694988,-0.04217626,-0.022907456
20,1436546581893,-0.027276479,-0.036983907,-0.01985313
21,1436546581914,-0.03002537,-0.042481698,-0.0186314
22,1436546581934,-0.03582859,-0.0406491,-0.023518322
23,1436546581954,-0.039799213,-0.035151314,-0.02901611
24,1436546581974,-0.030941669,-0.033929583,-0.029321542
25,1436546581995,-0.026054747,-0.039732803,-0.03145957
26,1436546582018,-0.023611287,-0.05103381,-0.028710676
27,1436546582033,-0.01933523,-0.05225554,-0.019242264
28,1436546582054,-0.012921145,-0.049201213,-0.018020535
29,1436546582073,-0.009255953,-0.04889578,-0.025961783
30,1436546582096,-0.0065070596,-0.051339243,-0.0326813
31,1436546582116,-0.015059173,-0.0556153,-0.034819327
32,1436546582136,-0.021778692,-0.05103381,-0.032070436
33,1436546582156,-0.021473259,-0.045841455,-0.021380294
34,1436546582176,-0.027581912,-0.04889578,-0.014660776
35,1436546582197,-0.025443882,-0.053477272,-0.01649337
36,1436546582216,-0.02055696,-0.050728377,-0.024434619
37,1436546582236,-0.014142876,-0.052560974,-0.018020535
38,1436546582257,-0.008034223,-0.056531597,-0.016798804
39,1436546582273,-0.005285329,-0.06294568,-0.017104236
40,1436546582298,-0.0013147052,-0.061113086,-0.02901611
41,1436546582313,0.00051788986,-0.06050222,-0.04184428
42,1436546582333,-0.011088549,-0.06661087,-0.032986734
43,1436546582354,-0.015670039,-0.06508371,-0.02779438
44,1436546582379,-0.022694988,-0.056531597,-0.018020535
45,1436546582400,-0.025749315,-0.050728377,-0.0091629885
46,1436546582420,-0.02391672,-0.051339243,-0.011606449
47,1436546582436,-0.02391672,-0.050728377,-0.003970634
48,1436546582454,-0.01353201,-0.051339243,-0.00244347
49,1436546582474,-0.0043690316,-0.047063187,0.007330373
50,1436546582511,-0.0028418675,-0.047063187,0.007330373
51,1436546582513,0.003877649,-0.04981208,-0.0006108768
52,1436546582587,-0.007423358,-0.049506646,-0.017715102
53,1436546582588,-0.0068124924,-0.04797948,-0.024434619
54,1436546582589,-0.01475374,-0.049201213,-0.01038472
55,1436546582616,-0.016586337,-0.049201213,-0.011606449
56,1436546582617,-0.013226578,-0.046757754,-0.013439044
57,1436546582637,-0.015975472,-0.036067612,-0.024129186
58,1436546582657,-0.014448307,-0.03240242,-0.020158563
59,1436546582673,-0.016280904,-0.040954534,-0.0070249606
60,1436546582694,-0.008950521,-0.048590347,0.0039706156
61,1436546582730,-0.005285329,-0.03270785,0.025656331
62,1436546582745,-0.008034223,-0.015909057,0.023518302
63,1436546582754,-0.017808067,-0.0058297813,-0.0015271716
64,1436546582773,-0.010783116,-0.009800404,0.0021380186
65,1436546582796,-0.0043690316,-0.02415574,0.003054317
66,1436546582815,-0.01353201,-0.030875256,-0.008552123
67,1436546582837,-0.01689177,-0.028737228,-0.0051923655
68,1436546582857,-0.0123102795,-0.035762176,-0.002748903
69,1436546582877,-0.00772879,-0.030264392,0.01282816
70,1436546582897,-0.014142876,-0.031486124,-0.007941257
71,1436546582917,-0.01689177,-0.033318717,-0.029626973
72,1436546582937,-0.021473259,-0.03820564,-0.01985313
73,1436546582957,-0.023611287,-0.022323143,-0.009468421
74,1436546582977,-0.0330797,-0.015298191,-0.0073303934
75,1436546582998,-0.026665613,-0.029653527,0.00030542165
76,1436546583016,-0.031552535,-0.03454045,-0.011301016
77,1436546583037,-0.037661187,-0.04034367,-0.015882507
78,1436546583054,-0.031247102,-0.03454045,-0.0058032293
79,1436546583074,-0.023305854,-0.019268818,-0.0018326044
80,1436546583095,-0.028192777,-0.0073569454,-0.028405244
81,1436546583120,-0.024527585,-0.013465598,-0.047342066
82,1436546583138,-0.02636018,-0.014687326,-0.037568223
83,1436546583158,-0.018724365,-0.018657953,0.011911862
84,1436546583177,-0.013226578,-0.019268818,0.0024434514
85,1436546583195,-0.0019255709,-0.03484588,0.009773836
86,1436546583214,0.0026559196,-0.058669627,0.01069013
87,1436546583234,-0.0007038396,-0.063251115,0.0021380186
88,1436546583255,-0.024527585,-0.05897506,-0.0036652014
89,1436546583344,-0.042242676,-0.039121937,0.0009162873
90,1436546583345,-0.065455556,-0.025072038,-0.006108662
91,1436546583346,-0.06698272,-0.025377471,-0.0051923655
92,1436546583347,-0.063928396,-0.033929583,0.010079268
93,1436546583356,-0.06850988,-0.024766605,0.03176498
94,1436546583374,-0.0602632,-0.016825356,0.025350899
95,1436546583395,-0.059346903,-0.016519923,0.031154115
96,1436546583414,-0.052627385,-0.020490546,0.027183492
97,1436546583439,-0.04010465,-0.019268818,0.008246671
98,1436546583456,-0.03552316,-0.018963385,-0.0030543357
99,1436546583475,-0.014448307,-0.01621449,-0.0067195278
100,1436546583496,-0.005896195,-0.02995896,-0.012828181
101,1436546583515,-0.0031473003,-0.03362415,-0.011301016
102,1436546583536,-0.010172252,-0.0406491,-0.024740051
