id,attr_time,attr_x,attr_y,attr_z
1,1437067245625,-0.74639237,9.968259,-1.2922704
2,1437067245688,-0.7098808,9.931149,-1.2671312
3,1437067245689,-0.6799533,9.985018,-1.3257892
4,1437067245690,-0.5859809,10.0029745,-1.1911154
5,1437067245731,-0.4758476,10.120291,-0.9331401
6,1437067245732,-0.40761283,10.155006,-0.75118077
7,1437067245752,-0.50517654,10.122087,-0.7673417
8,1437067245763,-0.5662287,10.077195,-0.9576807
9,1437067245778,-0.545878,10.018537,-1.0319009
10,1437067245798,-0.55365914,10.056845,-1.2300211
11,1437067245818,-0.5919664,9.973646,-1.3012487
12,1437067246017,-0.8230068,9.869498,-1.5903485
13,1437067246018,-0.9020155,9.81503,-1.7585411
14,1437067246019,-0.7392098,9.832987,-1.2401965
15,1437067246020,-0.41479546,10.09994,-0.8475474
16,1437067246021,-0.14844051,10.304645,-0.5907693
17,1437067246022,-0.1364695,10.277111,-0.30645782
18,1437067246023,-0.25139117,10.153211,-0.40402153
19,1437067246024,-0.22325931,10.148422,-0.6865373
20,1437067246025,-0.1933318,10.1621895,-0.8206126
21,1437067246026,-0.35314476,10.049063,-0.9044097
22,1437067246037,-0.33279404,10.085575,-0.96785605
23,1437067246063,-0.24540567,10.061034,-0.9283517
24,1437067246078,-0.29448682,10.077793,-0.9588778
25,1437067246097,-0.3764882,10.045472,-0.973243
26,1437067246117,-0.3609259,10.037092,-0.99538934
27,1437067246137,-0.36391866,10.055049,-1.0079589
28,1437067246157,-0.37469256,9.988609,-1.0019734
29,1437067246177,-0.30825347,10.067019,-0.97264445
30,1437067246197,-0.30765492,10.068815,-0.9115923
31,1437067246217,-0.31663316,10.065823,-0.90859956
32,1437067246237,-0.33279404,10.086772,-0.9696517
33,1437067246257,-0.3477578,10.067019,-1.0019734
34,1437067246277,-0.33039984,10.07121,-1.0061632
35,1437067246298,-0.3549404,10.053851,-0.9768343
36,1437067246319,-0.42437226,10.052056,-1.0103531
37,1437067246339,-0.37588966,10.041881,-1.0133458
38,1437067246359,-0.4225766,10.059238,-1.0151415
39,1437067246380,-0.40462008,10.057443,-1.0115502
40,1437067246431,-0.3866636,10.052654,-0.97264445
41,1437067246432,-0.39624038,10.0508585,-1.0115502
42,1437067246437,-0.37948096,10.086772,-0.99299514
43,1437067246457,-0.4333505,10.065823,-1.0241197
44,1437067246477,-0.45789108,10.075998,-1.0259154
45,1437067246499,-0.44711718,10.038888,-1.01574
46,1437067246520,-0.516549,10.042479,-1.0546459
47,1437067246538,-0.50397944,10.05864,-1.0893618
48,1437067246559,-0.45070848,10.061633,-0.95947635
49,1437067246582,-0.5129577,10.052654,-1.0911574
50,1437067246599,-0.492607,10.042479,-1.0755951
51,1437067246619,-0.47285482,10.063428,-1.086369
52,1437067246638,-0.50517654,10.040684,-1.0791864
53,1437067246661,-0.4997896,10.047267,-1.067814
54,1437067246682,-0.4973954,10.04607,-1.067814
55,1437067246699,-0.53211135,10.052056,-1.0749966
56,1437067246719,-0.56323594,10.039486,-1.0564415
57,1437067246742,-0.5177461,10.063428,-1.0749966
58,1437067246760,-0.49919105,10.059238,-1.0803835
59,1437067246780,-0.5105635,10.050261,-1.079785
60,1437067246800,-0.4309563,10.06283,-1.0666169
61,1437067246819,-0.4830302,10.057443,-1.0767922
62,1437067246838,-0.439336,10.046669,-1.0702082
63,1437067246858,-0.46686932,10.04607,-1.0708067
64,1437067246878,-0.41060558,10.037092,-1.0456676
65,1437067246901,-0.40940848,10.049662,-1.0552444
66,1437067246919,-0.43754035,10.038888,-1.0737995
67,1437067246944,-0.3716998,10.043676,-1.0486604
68,1437067246961,-0.3728969,10.063428,-1.039682
69,1437067246978,-0.37110126,10.045472,-1.0498575
70,1437067246998,-0.39264908,10.047267,-1.0660183
71,1437067247019,-0.39683893,10.04607,-1.0354922
72,1437067247041,-0.3788824,10.055647,-1.0235212
73,1437067247065,-0.3609259,10.047866,-1.0354922
74,1437067247111,-0.35553896,10.050261,-1.0474633
75,1437067247124,-0.35553896,10.04607,-1.0648212
76,1437067247125,-0.3842694,10.052654,-1.0534488
77,1437067247139,-0.3776853,10.060435,-1.0654198
78,1437067247162,-0.39983168,10.05445,-1.0726024
79,1437067247179,-0.39624038,10.047267,-1.0420763
80,1437067247199,-0.39803603,10.051457,-1.0564415
81,1437067247220,-0.36272156,10.061034,-1.0749966
82,1437067247241,-0.38606504,10.064027,-1.0720038
83,1437067247260,-0.3890578,10.05445,-1.0630256
84,1437067247279,-0.40581718,10.067618,-1.0540473
85,1437067247306,-0.3800795,10.063428,-1.0600328
86,1437067247322,-0.3764882,10.064626,-1.0935516
87,1437067247345,-0.37948096,10.055049,-1.0432734
88,1437067247363,-0.32680854,10.062231,-1.0307038
89,1437067247381,-0.3585317,10.069414,-1.0235212
90,1437067247403,-0.29927522,10.055049,-1.0378864
91,1437067247421,-0.30645782,10.055647,-1.0564415
92,1437067247442,-0.28670564,10.040684,-1.06123
93,1437067247463,-0.28311434,10.043077,-1.0121487
94,1437067247482,-0.2813187,10.046669,-1.0229226
95,1437067247501,-0.28491,10.028712,-1.0289081
96,1437067247521,-0.29807812,10.055647,-1.0684125
97,1437067247542,-0.25258827,10.061034,-1.0295067
98,1437067247560,-0.2861071,10.062231,-1.0390835
99,1437067247581,-0.29448682,10.060435,-1.0259154
100,1437067247600,-0.28790274,10.0748005,-1.0486604
101,1437067247626,-0.3184288,10.065823,-1.0187328
102,1437067247645,-0.30346507,10.060435,-1.021127
103,1437067247666,-0.30286652,10.05864,-1.0241197
104,1437067247684,-0.31304187,10.058042,-1.0085574
105,1437067247700,-0.36272156,10.064027,-1.0522517
106,1437067247721,-0.34117374,10.069414,-1.0480618
107,1437067247740,-0.3549404,10.047866,-1.0468647
108,1437067247763,-0.3824737,10.064027,-1.0223241
109,1437067247784,-0.37708676,10.053253,-1.0354922
110,1437067247865,-0.37110126,10.046669,-1.0283096
111,1437067247866,-0.38726214,10.055647,-1.0630256
112,1437067247867,-0.40342298,10.06283,-1.0516531
113,1437067247868,-0.39863458,10.053253,-1.0307038
114,1437067247883,-0.3854665,10.079589,-1.06123
115,1437067247900,-0.41120413,10.069414,-1.086369
116,1437067247943,-0.39863458,10.05864,-1.0307038
117,1437067247944,-0.40222588,10.053253,-1.0480618
118,1437067247961,-0.35434186,10.064027,-1.0606314
119,1437067247980,-0.3776853,10.067019,-1.0726024
120,1437067248014,-0.3764882,10.055049,-1.0301052
121,1437067248021,-0.38606504,10.055647,-1.0534488
122,1437067248041,-0.3549404,10.053253,-1.0175357
123,1437067248062,-0.38367084,10.036493,-1.073201
124,1437067248084,-0.3878607,10.068815,-1.06123
125,1437067248103,-0.38486794,10.0664215,-1.1043255
126,1437067248123,-0.38187516,10.072407,-1.09834
127,1437067248143,-0.36631286,10.071808,-1.1073183
128,1437067248163,-0.39743748,10.065823,-1.1061212
129,1437067248184,-0.3764882,10.05445,-1.0390835
130,1437067248203,-0.37229836,10.059837,-1.0702082
131,1437067248224,-0.39743748,10.03769,-1.0432734
132,1437067248243,-0.43394905,10.049063,-1.0510546
133,1437067248263,-0.37708676,10.035296,-1.0480618
134,1437067248283,-0.41479546,10.051457,-1.0474633
135,1437067248303,-0.362123,10.055647,-1.0163386
136,1437067248324,-0.34715924,10.0508585,-1.0235212
137,1437067248343,-0.3561375,10.036493,-0.9947908
138,1437067248364,-0.52373165,10.0664215,-1.1390414
139,1437067248384,-0.23343466,10.055049,-0.9235633
140,1437067248403,-0.52373165,10.038888,-0.97264445
141,1437067248424,-0.4333505,10.047267,-1.0307038
142,1437067248444,-0.30286652,10.053851,-0.9552865
143,1437067248464,-0.3752911,10.055647,-0.9068039
144,1437067248483,-0.41240123,10.06283,-1.0049661
145,1437067248503,-0.30765492,10.040684,-0.89662856
146,1437067248523,-0.3429694,10.074203,-0.93254155
147,1437067248550,-0.4249708,10.041282,-0.93972415
148,1437067248621,-0.41180268,10.06283,-0.9259575
149,1437067248622,-0.41000703,10.068216,-0.92775315
150,1437067248623,-0.51595044,10.041282,-0.9804256
151,1437067248624,-0.42916065,10.062231,-0.89902276
152,1437067248644,-0.4782418,10.073604,-0.9271546
153,1437067248666,-0.45429978,10.068216,-0.90261406
154,1437067248681,-0.47644615,10.073005,-0.8846575
155,1437067248706,-0.49559975,10.06283,-0.8984242
156,1437067248722,-0.48961425,10.060435,-0.8619126
157,1437067248756,-0.5267244,10.035895,-0.8882488
158,1437067248763,-0.5590461,10.072407,-0.85652566
159,1437067248782,-0.5482722,10.092757,-0.87448215
160,1437067248805,-0.6386533,10.050261,-0.86729956
161,1437067248824,-0.5793968,10.061034,-0.7954735
162,1437067248844,-0.6087258,10.007763,-0.825401
163,1437067248864,-0.55725044,10.05864,-0.79846627
164,1437067248883,-0.581791,10.085575,-0.8355764
165,1437067248904,-0.7410054,10.071808,-0.94930094
166,1437067248924,-0.92296475,10.120291,-1.0109516
167,1437067248944,-0.6314707,10.258555,-0.88525605
168,1437067248964,-0.7799112,10.138845,-0.79008657
169,1437067248983,-0.83018947,10.077793,-0.7422025
170,1437067249005,-0.7727286,10.075998,-0.7966706
171,1437067249024,-0.7733272,9.985617,-0.7769185
172,1437067249044,-0.65780693,10.05445,-0.7637503
173,1437067249061,-0.64942724,10.035296,-0.7086837
174,1437067249081,-0.70509243,10.0825815,-0.6907272
175,1437067249103,-0.7505822,10.000581,-0.84216046
