id,attr_time,attr_x,attr_y,attr_z
1,1436608595914,-9.392453,0.6955156,1.2808979
2,1436608595933,-9.425972,0.66858083,1.2725182
3,1436608595960,-9.3978405,0.6404489,1.276708
4,1436608595976,-9.360131,0.6811504,1.2940661
5,1436608595996,-9.345766,0.7254431,1.3174095
6,1436608596013,-9.3733,0.682946,1.2497733
7,1436608596034,-9.352949,0.6727707,1.2814964
8,1436608596056,-9.34397,0.6985083,1.3078327
9,1436608596073,-9.378687,0.7086837,1.287482
10,1436608596093,-9.389461,0.6973112,1.2773066
11,1436608596114,-9.392453,0.700304,1.2868834
12,1436608596133,-9.377489,0.6703765,1.3120226
13,1436608596153,-9.372701,0.7015011,1.2970588
14,1436608596174,-9.366715,0.6919243,1.2808979
15,1436608596194,-9.375095,0.7015011,1.3012487
16,1436608596218,-9.403826,0.7020996,1.2952632
17,1436608596293,-9.388862,0.7260417,1.3120226
18,1436608596294,-9.357139,0.7284359,1.311424
19,1436608596295,-9.357738,0.7074866,1.271321
20,1436608596296,-9.305663,0.6895301,1.2814964
21,1436608596313,-9.269152,0.705691,1.2844892
22,1436608596333,-9.325416,0.7146692,1.2946646
23,1436608596353,-9.368511,0.7038953,1.3060371
24,1436608596378,-9.381081,0.694917,1.2808979
25,1436608596393,-9.367314,0.6991069,1.2785037
26,1436608596416,-9.368511,0.7074866,1.2611457
27,1436608596438,-9.3661175,0.7248446,1.264737
28,1436608596454,-9.378088,0.724246,1.2533646
29,1436608596501,-9.348161,0.7068881,1.2467805
30,1436608596502,-9.350554,0.7272388,1.2491747
31,1436608596516,-9.342773,0.7080852,1.204882
32,1436608596534,-9.3421755,0.7026982,1.1994951
33,1436608596554,-9.35235,0.6931214,1.2228385
34,1436608596576,-9.393052,0.6913257,1.2425907
35,1436608596594,-9.386468,0.705691,1.270124
36,1436608596616,-9.399037,0.6991069,1.2437878
37,1436608596633,-9.424176,0.6925228,1.2551602
38,1436608596654,-9.39365,0.6805518,1.2521675
39,1436608596679,-9.391256,0.7212533,1.2479776
40,1436608596694,-9.387066,0.7314286,1.2282255
41,1436608596716,-9.384073,0.694917,1.1845313
42,1436608596733,-9.355942,0.6691794,1.2018893
43,1436608596754,-9.337985,0.705691,1.2276269
44,1436608596777,-9.384672,0.7350199,1.2240356
45,1436608596793,-9.404425,0.7218518,1.2354081
46,1436608596819,-9.430161,0.7080852,1.2455834
47,1436608596835,-9.424176,0.6721721,1.2150574
48,1436608596856,-9.428367,0.6679823,1.2539631
49,1436608596874,-9.419388,0.6751649,1.2042835
50,1436608596896,-9.403826,0.6937199,1.1994951
51,1436608596914,-9.419388,0.6973112,1.2563573
52,1436608596943,-9.372103,0.6919243,1.2330139
53,1436608597014,-9.3733,0.7015011,1.228824
54,1436608597015,-9.39365,0.7020996,1.2096704
55,1436608597016,-9.367314,0.688333,1.210269
56,1436608597017,-9.350554,0.7098808,1.186327
57,1436608597034,-9.354146,0.7110779,1.2114661
58,1436608597054,-9.3738985,0.7068881,1.210269
59,1436608597073,-9.408015,0.6967127,1.2360066
60,1436608597097,-9.416395,0.6919243,1.2198458
61,1436608597114,-9.403826,0.6925228,1.2030864
62,1436608597135,-9.394848,0.6973112,1.2024878
63,1436608597161,-9.397242,0.7128736,1.1875241
64,1436608597175,-9.364322,0.705691,1.1935096
65,1436608597193,-9.385271,0.6973112,1.1971009
66,1436608597216,-9.367314,0.7200562,1.1887212
67,1436608597235,-9.364322,0.7230489,1.1803415
68,1436608597258,-9.374496,0.6943185,1.1761516
69,1436608597276,-9.407417,0.7140707,1.1893197
70,1436608597297,-9.393052,0.705691,1.1976994
71,1436608597318,-9.380483,0.7164649,1.1815386
72,1436608597334,-9.392453,0.7200562,1.1881226
73,1436608597357,-9.3978405,0.7020996,1.2084733
74,1436608597378,-9.364322,0.7272388,1.2210429
75,1436608597397,-9.372103,0.7505822,1.1959038
76,1436608597417,-9.3978405,0.7164649,1.1803415
77,1436608597435,-9.379285,0.6751649,1.1480197
78,1436608597456,-9.339182,0.682946,1.1797429
79,1436608597480,-9.345168,0.7410054,1.1941081
80,1436608597497,-9.367314,0.7326257,1.2030864
81,1436608597514,-9.412804,0.7182605,1.1917139
82,1436608597534,-9.424176,0.6919243,1.1976994
83,1436608597554,-9.412804,0.6913257,1.1653777
84,1436608597581,-9.414001,0.7116765,1.1911154
85,1436608597597,-9.390657,0.7074866,1.1534066
86,1436608597616,-9.414599,0.7128736,1.1839328
87,1436608597635,-9.394249,0.705691,1.1994951
88,1436608597662,-9.376292,0.7230489,1.198298
89,1436608597738,-9.387066,0.7410054,1.1797429
90,1436608597739,-9.415198,0.7092823,1.1671734
91,1436608597740,-9.3738985,0.7026982,1.1528081
92,1436608597741,-9.339182,0.6979098,1.1593921
93,1436608597757,-9.354745,0.7158663,1.1683705
94,1436608597774,-9.3822775,0.6973112,1.1839328
95,1436608597795,-9.401431,0.724246,1.1899183
96,1436608597816,-9.407417,0.700304,1.1875241
97,1436608597834,-9.404425,0.7170634,1.1797429
98,1436608597855,-9.384073,0.7032967,1.1480197
99,1436608597882,-9.362526,0.7074866,1.1546037
100,1436608597896,-9.371504,0.7062895,1.1492168
101,1436608597915,-9.3738985,0.7062895,1.146224
102,1436608597939,-9.388264,0.7104794,1.151611
103,1436608597958,-9.386468,0.7164649,1.1593921
104,1436608597978,-9.380483,0.6913257,1.1450269
105,1436608597998,-9.3661175,0.6961141,1.1611878
106,1436608598018,-9.391256,0.7015011,1.1486182
107,1436608598038,-9.39365,0.6979098,1.1534066
108,1436608598058,-9.42238,0.7170634,1.1468226
109,1436608598078,-9.42238,0.7170634,1.146224
110,1436608598098,-9.405023,0.670975,1.1378443
111,1436608598119,-9.395446,0.700304,1.1755531
112,1436608598137,-9.3733,0.7386112,1.1468226
113,1436608598158,-9.390657,0.7302315,1.1498153
114,1436608598179,-9.384073,0.6925228,1.1258733
115,1436608598198,-9.3499565,0.6715736,1.1300632
116,1436608598218,-9.353547,0.7212533,1.13964
117,1436608598238,-9.369708,0.7224504,1.1468226
118,1436608598258,-9.41041,0.7146692,1.1360487
119,1436608598278,-9.44752,0.6787562,1.174356
120,1436608598298,-9.418191,0.6901286,1.1791444
121,1436608598318,-9.413403,0.688333,1.1474211
122,1436608598337,-9.395446,0.6787562,1.1641805
