id,attr_time,attr_x,attr_y,attr_z
1,1436608595916,-9.33975,-3.22517,0.0982361
2,1436608595936,-9.35384,-3.22989,0.0927124
3,1436608595956,-9.36086,-3.23073,0.0909271
4,1436608595975,-9.32788,-3.24519,0.121658
5,1436608595996,-9.34061,-3.22734,0.144318
6,1436608596015,-9.32675,-3.23767,0.139847
7,1436608596035,-9.33316,-3.25354,0.123779
8,1436608596054,-9.37067,-3.25766,0.117096
9,1436608596074,-9.35536,-3.23222,0.109299
10,1436608596095,-9.39536,-3.2347,0.143753
11,1436608596115,-9.39005,-3.21867,0.117935
12,1436608596134,-9.35529,-3.21944,0.0919647
13,1436608596152,-9.31984,-3.22501,0.0989075
14,1436608596174,-9.33002,-3.18816,0.0684357
15,1436608596214,-9.3456,-3.1893,0.0774841
16,1436608596233,-9.34229,-3.22162,0.127365
17,1436608596253,-9.34601,-3.20435,0.0739593
18,1436608596273,-9.32278,-3.21251,0.109055
19,1436608596293,-9.34819,-3.18517,0.121292
20,1436608596312,-9.39154,-3.19733,0.145691
21,1436608596333,-9.37567,-3.20363,0.111435
22,1436608596353,-9.35738,-3.22369,0.119476
23,1436608596371,-9.3555,-3.18752,0.102875
24,1436608596392,-9.37025,-3.19949,0.0650787
25,1436608596412,-9.34932,-3.19958,0.110687
26,1436608596432,-9.32545,-3.18527,0.151535
27,1436608596452,-9.34212,-3.19579,0.140823
28,1436608596470,-9.34538,-3.21175,0.0900116
29,1436608596491,-9.3521,-3.19514,0.0932617
30,1436608596510,-9.37018,-3.20422,0.093277
31,1436608596531,-9.38576,-3.17867,0.0989227
32,1436608596551,-9.34991,-3.20145,0.0933228
33,1436608596570,-9.38207,-3.21236,0.0651398
34,1436608596590,-9.36017,-3.21501,0.1035
35,1436608596610,-9.37913,-3.2146,0.0699005
36,1436608596630,-9.3633,-3.17232,0.0662842
37,1436608596649,-9.38451,-3.16643,0.0421906
38,1436608596670,-9.38055,-3.17982,0.095871
39,1436608596690,-9.36221,-3.22911,0.0584106
40,1436608596709,-9.35063,-3.2224,0.0832062
41,1436608596729,-9.35089,-3.20651,0.0955505
42,1436608596749,-9.34793,-3.23087,0.102997
43,1436608596769,-9.37799,-3.24846,0.0509338
44,1436608596787,-9.40477,-3.25649,0.0939789
45,1436608596808,-9.40552,-3.22391,0.0474396
46,1436608596827,-9.392,-3.20766,0.086319
47,1436608596848,-9.37364,-3.19328,0.0948944
48,1436608596868,-9.33786,-3.19678,0.0761871
49,1436608596888,-9.35193,-3.17613,0.0942993
50,1436608596907,-9.35844,-3.17632,0.0792389
51,1436608596926,-9.35437,-3.20584,0.0602722
52,1436608596947,-9.35632,-3.21545,0.0473328
53,1436608596966,-9.35381,-3.2211,0.0781555
54,1436608596987,-9.3663,-3.1821,0.0730743
55,1436608597006,-9.3754,-3.20454,0.0770569
56,1436608597026,-9.35893,-3.20251,0.0802765
57,1436608597046,-9.34117,-3.20126,0.0608063
58,1436608597066,-9.32805,-3.22003,0.0696411
59,1436608597086,-9.3575,-3.21565,0.0753632
60,1436608597103,-9.35141,-3.19502,0.027298
61,1436608597126,-9.36342,-3.17332,0.0509033
62,1436608597144,-9.37317,-3.19485,0.070343
63,1436608597165,-9.35173,-3.19075,0.078064
64,1436608597184,-9.35742,-3.20624,0.0556946
65,1436608597204,-9.38496,-3.20677,0.0837097
66,1436608597225,-9.37273,-3.19585,0.0917206
67,1436608597243,-9.34869,-3.1783,0.0764618
68,1436608597264,-9.3573,-3.18655,0.0691223
69,1436608597283,-9.35309,-3.20328,0.0838776
70,1436608597303,-9.39008,-3.19675,0.0325928
71,1436608597324,-9.36705,-3.19145,0.0597992
72,1436608597344,-9.37071,-3.1873,0.0280914
73,1436608597363,-9.35417,-3.1787,0.0472717
74,1436608597383,-9.33534,-3.17119,0.0609589
75,1436608597403,-9.34796,-3.17691,0.0547791
76,1436608597423,-9.34398,-3.18513,0.0894775
77,1436608597443,-9.38272,-3.19975,0.0538177
78,1436608597482,-9.35091,-3.2509,0.0132141
79,1436608597503,-9.40387,-3.23666,0.0393372
80,1436608597522,-9.36679,-3.21634,0.0122223
81,1436608597541,-9.38794,-3.21303,0.0563812
82,1436608597560,-9.35712,-3.1658,0.038559
83,1436608597582,-9.32843,-3.1689,0.0119476
84,1436608597600,-9.35084,-3.14604,0.0363617
85,1436608597621,-9.3797,-3.14542,0.0581512
86,1436608597640,-9.3754,-3.13623,0.0252075
87,1436608597661,-9.34129,-3.15189,0.0599823
88,1436608597681,-9.33884,-3.15825,0.0694733
89,1436608597700,-9.36401,-3.16315,0.0319672
90,1436608597720,-9.34613,-3.17448,0.0283661
91,1436608597739,-9.36987,-3.20651,0.0307922
92,1436608597760,-9.3642,-3.21974,0.0137024
93,1436608597780,-9.35245,-3.20782,0.0510864
94,1436608597799,-9.3521,-3.18192,0.0348969
95,1436608597819,-9.37347,-3.17894,0.078598
96,1436608597839,-9.36815,-3.1582,0.0638886
97,1436608597859,-9.35396,-3.17172,0.0719757
98,1436608597878,-9.36421,-3.18613,0.0318756
99,1436608597898,-9.3567,-3.14276,0.0126648
100,1436608597917,-9.31996,-3.1528,-0.00894165
101,1436608597938,-9.38765,-3.14552,-0.00500488
102,1436608597958,-9.39349,-3.15617,0.0542603
103,1436608597978,-9.36588,-3.14989,0.0511627
104,1436608597998,-9.34763,-3.15945,0.05159
105,1436608598018,-9.37607,-3.19531,0.0176544
106,1436608598036,-9.36211,-3.1993,-0.0219116
107,1436608598057,-9.39786,-3.21724,0.0154572
108,1436608598077,-9.33807,-3.17851,0.033844
109,1436608598097,-9.36594,-3.1497,0.00230408
110,1436608598117,-9.3562,-3.13983,0.0236816
111,1436608598136,-9.37082,-3.13963,0.0348969
112,1436608598156,-9.35214,-3.16727,0.0342102
113,1436608598174,-9.34882,-3.16679,0.0699463
114,1436608598195,-9.35496,-3.18924,-0.00180054
115,1436608598216,-9.35544,-3.22668,0.0276184
116,1436608598234,-9.38251,-3.20891,0.0532074
117,1436608598256,-9.39691,-3.20239,-0.000198364
118,1436608598275,-9.37764,-3.18849,0.0357056
119,1436608598295,-9.36705,-3.18204,0.0499573
120,1436608598315,-9.33815,-3.17825,0.0144043
121,1436608598333,-9.33563,-3.17223,0.00224304
122,1436608598355,-9.36415,-3.19939,0.0518799
123,1436608598374,-9.36488,-3.19054,0.0350189
124,1436608598394,-9.34131,-3.19267,0.00601196
125,1436608598414,-9.34346,-3.16537,0.0496216
126,1436608598433,-9.34837,-3.16489,0.0570984
127,1436608598454,-9.37483,-3.17377,0.0389557
128,1436608598474,-9.36763,-3.21356,0.0291138
129,1436608598493,-9.34102,-3.23093,0.0212097
130,1436608598513,-9.3398,-3.20778,0.0393982
131,1436608598532,-9.3651,-3.20165,0.0850677
132,1436608598552,-9.33931,-3.18805,0.0725098
133,1436608598572,-9.36346,-3.18648,0.0519409
134,1436608598592,-9.36218,-3.19116,0.0296936
135,1436608598612,-9.36867,-3.2211,0.0928802
136,1436608598632,-9.34616,-3.17438,0.074295
137,1436608598650,-9.35745,-3.16183,0.0477753
138,1436608598672,-9.36256,-3.18939,0.0598602
139,1436608598712,-9.36145,-3.18585,0.0311279
140,1436608598731,-9.33641,-3.2029,0.0753021
141,1436608598751,-9.33076,-3.17104,0.044693
142,1436608598768,-9.36264,-3.19397,0.0221558
143,1436608598787,-9.37071,-3.19942,0.0785675
144,1436608598807,-9.38593,-3.2196,0.0762329
145,1436608598826,-9.35217,-3.20239,0.067749
146,1436608598846,-9.35764,-3.17949,0.0794373
147,1436608598868,-9.3533,-3.17036,0.048523
148,1436608598889,-9.33847,-3.20239,0.0274048
149,1436608598910,-9.33321,-3.19179,0.0789642
150,1436608598929,-9.3447,-3.1904,0.0402222
151,1436608598949,-9.36093,-3.20811,0.0543518
152,1436608598966,-9.37106,-3.23454,0.0514832
153,1436608598989,-9.37376,-3.25113,0.101746
154,1436608599007,-9.40335,-3.22156,0.0835571
155,1436608599028,-9.38829,-3.20129,0.0936432
156,1436608599048,-9.33257,-3.20332,0.0896606
157,1436608599068,-9.34595,-3.19546,0.0724182
158,1436608599088,-9.34335,-3.19656,0.0682983
159,1436608599108,-9.36206,-3.1841,0.0581665
160,1436608599127,-9.35172,-3.20927,0.0744782
161,1436608599147,-9.3555,-3.23018,0.078064
162,1436608599167,-9.34943,-3.19461,0.0425415
163,1436608599187,-9.34082,-3.17177,0.083313
164,1436608599207,-9.36237,-3.19756,0.0944366
165,1436608599226,-9.35043,-3.22916,0.0527039
166,1436608599247,-9.37152,-3.25444,0.0592804
167,1436608599266,-9.35292,-3.2453,0.0710297
168,1436608599285,-9.33313,-3.21605,0.0884247
169,1436608599306,-9.35068,-3.19252,0.105392
170,1436608599325,-9.33843,-3.22038,0.0216827
171,1436608599346,-9.3575,-3.20009,0.0816193
172,1436608599365,-9.31969,-3.22296,0.109558
173,1436608599385,-9.34355,-3.19571,0.0790863
174,1436608599405,-9.35829,-3.22072,0.0610199
175,1436608599425,-9.37605,-3.22205,0.0601044
176,1436608599445,-9.36459,-3.17381,0.0830536
177,1436608599464,-9.35472,-3.20804,0.00109863
178,1436608599484,-9.34987,-3.20729,0.0566711
179,1436608599504,-9.36833,-3.21931,0.0540771
180,1436608599524,-9.40416,-3.22797,0.0908356
181,1436608599544,-9.3794,-3.21974,0.0765686
182,1436608599563,-9.36365,-3.19641,0.0529022
183,1436608599584,-9.38483,-3.17253,0.057373
184,1436608599602,-9.36459,-3.18427,0.0628967
185,1436608599623,-9.3622,-3.17603,0.116592
186,1436608599642,-9.34779,-3.22392,0.10463
187,1436608599662,-9.35394,-3.2027,0.0758362
188,1436608599683,-9.35243,-3.20673,0.0877075
189,1436608599703,-9.34529,-3.20255,0.0958862
190,1436608599723,-9.37962,-3.22006,0.0747986
191,1436608599741,-9.39047,-3.23492,0.0678253
192,1436608599761,-9.37266,-3.20793,0.0875549
193,1436608599781,-9.34317,-3.19337,0.0414124
194,1436608599802,-9.33482,-3.18437,0.0731201
195,1436608599822,-9.32599,-3.19579,0.0582123
196,1436608599841,-9.35635,-3.2005,0.0795136
197,1436608599860,-9.36525,-3.20537,0.0963592
198,1436608599881,-9.37616,-3.23029,0.0909119
199,1436608599900,-9.36746,-3.22002,0.0765228
200,1436608599919,-9.38405,-3.14583,0.0631561
201,1436608599959,-9.37212,-3.17218,0.0741272
202,1436608599980,-9.3528,-3.19804,0.100464
203,1436608599999,-9.37767,-3.21542,0.0704346
204,1436608600020,-9.35965,-3.24092,0.0507355
205,1436608600039,-9.35792,-3.19234,0.0904083
206,1436608600058,-9.33997,-3.19397,0.0777283
207,1436608600079,-9.33966,-3.15883,0.0934601
208,1436608600098,-9.33154,-3.17102,0.0683746
209,1436608600119,-9.35423,-3.19565,0.0465546
210,1436608600138,-9.35638,-3.16785,0.0638275
211,1436608600158,-9.34593,-3.15236,0.0452576
212,1436608600178,-9.38036,-3.17613,0.0462646
213,1436608600197,-9.37102,-3.15688,0.0362549
214,1436608600217,-9.33849,-3.16031,0.0597534
215,1436608600237,-9.3447,-3.15227,0.0309906
216,1436608600257,-9.35022,-3.14905,0.0371246
217,1436608600276,-9.39172,-3.16452,0.108322
218,1436608600297,-9.36919,-3.16728,0.113007
219,1436608600317,-9.37837,-3.18777,0.0991363
220,1436608600337,-9.34764,-3.13977,0.0263672
221,1436608600356,-9.3727,-3.15822,0.0175781
222,1436608600374,-9.40894,-3.17,-0.0187225
223,1436608600396,-9.38431,-3.18658,-0.0128784
224,1436608600415,-9.35867,-3.23648,0.0370483
225,1436608600436,-9.3788,-3.18521,-0.00349426
226,1436608600455,-9.41531,-3.06085,0.0175171
227,1436608600475,-9.43736,-2.95332,0.0318604
228,1436608600495,-9.48386,-2.80934,0.0191803
229,1436608600515,-9.50879,-2.76416,-0.0363312
230,1436608600535,-9.35542,-2.76089,-0.0430756
231,1436608600554,-9.39471,-2.91948,0.0508728
232,1436608600575,-9.3342,-2.81944,-0.0975494
233,1436608600594,-9.3188,-2.80588,-0.0375061
234,1436608600614,-9.3392,-2.94206,-0.192825
235,1436608600634,-9.36131,-3.12212,-0.178574
236,1436608600654,-9.31841,-3.03221,-0.0839386
