id,attr_time,attr_x,attr_y,attr_z
1,1436608595915,-9.61272,1.2725182,0.48961425
2,1436608595939,-9.636064,1.2785037,0.50038815
3,1436608595960,-9.599552,1.270124,0.5129577
4,1436608595979,-9.601946,1.264737,0.51235914
5,1436608595996,-9.610326,1.2629414,0.5081693
6,1436608596018,-9.640852,1.2467805,0.4902128
7,1436608596077,-9.646837,1.228824,0.53330845
8,1436608596078,-9.644443,1.2000936,0.51355624
9,1436608596079,-9.626487,1.2012907,0.521936
10,1436608596099,-9.611523,1.1994951,0.53570265
11,1436608596116,-9.627085,1.1971009,0.53929394
12,1436608596148,-9.619304,1.1905168,0.5231331
13,1436608596163,-9.631873,1.1881226,0.52852005
14,1436608596178,-9.634866,1.2018893,0.5327099
15,1436608596194,-9.651027,1.1773487,0.52732295
16,1436608596215,-9.661801,1.1815386,0.4997896
17,1436608596239,-9.660006,1.1785458,0.53211135
18,1436608596260,-9.591172,1.1755531,0.51714754
19,1436608596275,-9.665392,1.1677719,0.5255273
20,1436608596300,-9.636662,1.1599907,0.52492875
21,1436608596321,-9.621099,1.1540052,0.521936
22,1436608596338,-9.648633,1.1510124,0.5386954
23,1436608596359,-9.622296,1.1623849,0.5626374
24,1436608596378,-9.616311,1.1623849,0.53929394
25,1436608596398,-9.627684,1.1593921,0.5291186
26,1436608596417,-9.635465,1.1372458,0.5291186
27,1436608596438,-9.646238,1.1504139,0.5351041
28,1436608596459,-9.653421,1.1575965,0.5470751
29,1436608596478,-9.622895,1.1611878,0.5482722
30,1436608596497,-9.640852,1.1563994,0.557849
31,1436608596515,-9.623494,1.163582,0.56563014
32,1436608596538,-9.634866,1.1755531,0.5686229
33,1436608596557,-9.640253,1.1611878,0.5554548
34,1436608596575,-9.640253,1.1815386,0.55485624
35,1436608596595,-9.639654,1.1976994,0.57400984
36,1436608596618,-9.625289,1.2174516,0.54767364
37,1436608596638,-9.655217,1.2455834,0.5590461
38,1436608596658,-9.603143,1.2599486,0.54527944
