id,attr_time,attr_x,attr_y,attr_z
1,1436608595902,-0.44113165,10.008362,-1.335366
2,1436608595924,-0.4261679,10.022727,-1.3395559
3,1436608595945,-0.4309563,10.024523,-1.3293805
4,1436608595963,-0.42437226,10.007763,-1.3239936
5,1436608595984,-0.42796355,10.01734,-1.3251907
6,1436608596004,-0.45010993,10.005967,-1.3449428
7,1436608596029,-0.43754035,10.01734,-1.3359646
8,1436608596044,-0.4441244,10.02153,-1.3245921
9,1436608596061,-0.43754035,10.020332,-1.3281834
10,1436608596081,-0.44472298,10.02153,-1.3425486
11,1436608596101,-0.44113165,10.029311,-1.3371617
12,1436608596123,-0.43993455,10.00477,-1.328782
13,1436608596147,-0.4249708,10.000581,-1.3251907
14,1436608596163,-0.43035775,10.009559,-1.3575124
15,1436608596184,-0.4297592,10.02153,-1.3311762
16,1436608596202,-0.44113165,10.019734,-1.3443443
17,1436608596221,-0.42556936,10.020332,-1.340753
18,1436608596241,-0.43275195,10.028113,-1.3425486
19,1436608596263,-0.40821138,10.030508,-1.3497312
20,1436608596288,-0.41000703,10.010756,-1.3281834
21,1436608596349,-0.40162733,10.023325,-1.3497312
22,1436608596350,-0.42796355,10.000581,-1.3210008
23,1436608596351,-0.4225766,10.030508,-1.3515269
24,1436608596371,-0.39264908,10.027515,-1.316811
25,1436608596381,-0.45250413,10.00477,-1.3269863
26,1436608596401,-0.4297592,10.029311,-1.3084313
27,1436608596422,-0.41180268,10.023325,-1.3215994
28,1436608596441,-0.42437226,10.010756,-1.3192052
29,1436608596461,-0.41299978,10.019135,-1.3293805
30,1436608596493,-0.41599256,10.019734,-1.3575124
31,1436608596501,-0.43155485,10.014946,-1.323395
32,1436608596521,-0.41299978,10.016742,-1.3227965
33,1436608596541,-0.39205053,10.014347,-1.34195
34,1436608596562,-0.4213795,9.998186,-1.3245921
35,1436608596583,-0.41180268,10.001179,-1.3257892
36,1436608596603,-0.39863458,10.016742,-1.3305776
37,1436608596625,-0.39743748,10.018537,-1.34195
38,1436608596644,-0.39324763,10.028113,-1.3335704
39,1436608596665,-0.39863458,10.014347,-1.3311762
40,1436608596685,-0.39145198,10.024523,-1.3413515
41,1436608596704,-0.39564183,10.026319,-1.3347675
