id,attr_time,attr_x,attr_y,attr_z
1,1436608595901,9.895236,-0.009576807,0.62249243
2,1436608596922,9.900622,-0.030526072,0.62129533
3,1436608596923,9.873688,-0.035314474,0.59495914
4,1436608596924,9.8683,-0.020350715,0.5710171
5,1436608596925,9.8754835,-0.007182605,0.623091
6,1436608596926,9.883265,-0.019153614,0.62129533
7,1436608596927,9.866506,-0.017357962,0.60333884
8,1436608596928,9.890448,-0.011372458,0.6278794
9,1436608596929,9.931747,0.009576807,0.61171854
10,1436608596930,9.953295,0.0047884034,0.59376204
11,1436608596931,9.967062,0.014963761,0.6075287
12,1436608596932,9.950302,0.007182605,0.6051345
13,1436608596933,9.903615,-0.025737667,0.5847838
14,1436608596934,9.847352,-0.019153614,0.6015432
15,1436608596935,9.828796,-0.036511578,0.60453594
16,1436608596936,9.841366,-0.02633622,0.60693014
17,1436608596937,9.840169,-0.039504327,0.59136784
18,1436608596938,9.894038,-0.04129998,0.59855044
19,1436608596939,9.898827,-0.023343466,0.58298814
20,1436608596940,9.889849,-0.032920275,0.57879823
21,1436608596941,9.90601,0.0011971008,0.56084174
22,1436608596942,9.923966,-0.01436521,0.57281274
23,1436608596943,9.920375,-0.0035913025,0.58298814
24,1436608596944,9.919178,-0.029927522,0.55964464
25,1436608596945,9.894038,-0.015562311,0.57640404
26,1436608596946,9.888652,-0.046088383,0.57161564
27,1436608596947,9.897031,-0.036511578,0.55605334
28,1436608596948,9.897031,-0.02633622,0.55246204
29,1436608596949,9.907805,-0.029927522,0.54288524
30,1436608596950,9.8994255,-0.014963761,0.5363012
31,1436608596951,9.907805,-0.018555064,0.54168814
32,1436608596952,9.92636,-0.008379706,0.53330845
33,1436608596953,9.924564,-0.033518825,0.5267244
34,1436608596954,9.949704,-0.010175358,0.54527944
35,1436608596955,9.944317,-0.020350715,0.52073884
36,1436608596956,9.93893,-0.017956512,0.5315128
37,1436608596957,9.909601,-0.034715924,0.5327099
38,1436608596958,9.8916445,-0.034715924,0.5351041
39,1436608596959,9.889849,-0.02813187,0.52852005
40,1436608596960,9.910798,-0.026934769,0.51954174
41,1436608596961,9.913791,-0.022744916,0.5129577
42,1436608596962,9.911396,-0.019752163,0.5327099
43,1436608596963,9.913791,-0.0023942017,0.52971715
44,1436608596964,9.957485,-0.01436521,0.5153519
45,1436608596965,9.96347,0.009576807,0.5189432
46,1436608596966,9.9712515,-0.0053869537,0.53091425
47,1436608596967,9.9473095,-0.0053869537,0.50637364
48,1436608596968,9.926959,0.0017956513,0.50637364
49,1436608596969,9.904214,-0.02813187,0.52073884
50,1436608596970,9.888652,-0.04070143,0.5189432
51,1436608596971,9.856929,-0.04309563,0.50757074
52,1436608596972,9.869498,-0.04129998,0.48841715
53,1436608596973,9.888652,-0.036511578,0.504578
54,1436608596974,9.929952,-0.025139118,0.5291186
55,1436608596975,9.949704,-0.020350715,0.50876784
56,1436608596994,9.920375,-0.009576807,0.50757074
57,1436608597014,9.913192,-0.0035913025,0.5177461
58,1436608597034,9.91439,-0.031124622,0.49320555
59,1436608597054,9.929952,-0.019752163,0.50517654
60,1436608597074,9.9233675,-0.014963761,0.5129577
61,1436608597094,9.919776,-0.038905777,0.4973954
62,1436608597114,9.89344,-0.031124622,0.5021838
63,1436608597134,9.874287,-0.034715924,0.51834464
64,1436608597154,9.890448,-0.026934769,0.50996494
65,1436608597175,9.91798,-0.024540568,0.52373165
66,1436608597196,9.934141,-0.008978256,0.5105635
67,1436608597219,9.926959,-0.018555064,0.50397944
68,1436608597238,9.904214,-0.023942016,0.5105635
69,1436608597260,9.927557,-0.011372458,0.51954174
70,1436608597278,9.935937,-0.036511578,0.4973954
