id,attr_time,attr_x,attr_y,attr_z
1,1436607529524,0.00669861,0.00782776,0.0045166
2,1436607529543,0.00456238,0.00569153,0.00665283
3,1436607529564,0.000289917,0.000350952,0.00558472
4,1436607529583,-0.000778198,0.000350952,0.00131226
5,1436607529603,-0.00505066,-0.00392151,0.000244141
6,1436607529625,-0.00932312,0.000350952,-0.00189209
7,1436607529643,-0.0167999,0.00141907,-0.00402832
8,1436607529662,-0.0135956,0.00141907,-0.000823975
9,1436607529681,-0.00932312,0.00462341,0.00131226
10,1436607529702,-0.008255,0.00248718,0.00131226
11,1436607529723,-0.00398254,0.00569153,0.00238037
12,1436607529741,0.00456238,0.00675964,0.0045166
13,1436607529762,-0.000778198,0.00675964,-0.000823975
14,1436607529781,0.00776672,0.00996399,0.00131226
15,1436607529801,0.0163116,0.00889587,0.00344849
16,1436607529822,0.0227203,0.00569153,0.00131226
17,1436607529841,0.0237885,0.00569153,0.0045166
18,1436607529859,0.0131073,0.00569153,0.0045166
19,1436607529880,0.0120392,0.00462341,0.00665283
20,1436607529900,0.0184479,0.0035553,0.00878906
21,1436607529920,0.0131073,0.00462341,0.0119934
22,1436607529940,0.0109711,0.00248718,0.0130615
23,1436607529959,0.0141754,0.00569153,0.0109253
24,1436607529978,0.0131073,0.00569153,0.00772095
25,1436607529999,0.00883484,0.000350952,0.00665283
26,1436607530020,0.00776672,-0.00392151,0.0045166
27,1436607530039,0.00349426,-0.00285339,0.00238037
28,1436607530059,0.00563049,0.000350952,0.00772095
29,1436607530078,0.0131073,0.00248718,0.00558472
30,1436607530097,0.0141754,0.00675964,0.0130615
31,1436607530119,0.0152435,0.00569153,0.0119934
32,1436607530136,0.0184479,0.00782776,0.0151978
33,1436607530158,0.0184479,0.00569153,0.0119934
34,1436607530176,0.0109711,0.00462341,0.0130615
35,1436607530197,0.00669861,0.00782776,0.00878906
36,1436607530218,0.00349426,0.00675964,0.0119934
37,1436607530237,0.00883484,0.00889587,0.0109253
38,1436607530257,0.0152435,0.00782776,0.00985718
39,1436607530275,0.0173798,0.00889587,0.0109253
40,1436607530296,0.0205841,0.0121002,0.0119934
41,1436607530315,0.0163116,0.00889587,0.0109253
42,1436607530336,0.0216522,0.0110321,0.00985718
43,1436607530356,0.0216522,0.00996399,0.0109253
44,1436607530375,0.0227203,0.00675964,0.00665283
45,1436607530395,0.019516,0.00782776,0.00665283
46,1436607530418,0.0205841,0.00889587,0.00665283
47,1436607530435,0.0184479,0.00996399,0.00665283
48,1436607530453,0.0152435,0.00462341,0.00558472
49,1436607530474,0.0120392,0.00675964,0.0045166
50,1436607530493,0.0173798,0.00675964,0.00344849
51,1436607530515,0.019516,0.00996399,0.00344849
52,1436607530534,0.0163116,0.00996399,-0.000823975
53,1436607530554,0.0109711,0.00569153,-0.00296021
54,1436607530573,0.00990295,0.0035553,-0.00616455
55,1436607530592,0.00990295,0.00569153,-0.00189209
56,1436607530614,0.00776672,0.0035553,-0.00296021
57,1436607530632,0.00776672,0.00889587,-0.00296021
58,1436607530652,0.0173798,0.00889587,-0.00296021
59,1436607530673,0.0227203,0.00889587,-0.00296021
60,1436607530692,0.0205841,0.00569153,-0.00189209
61,1436607530712,0.0205841,0.00675964,-0.00296021
62,1436607530732,0.0109711,0.00248718,-0.00509644
63,1436607530751,0.00563049,-0.00392151,-0.00723267
64,1436607530770,-0.000778198,-0.00712585,-0.0093689
65,1436607530791,-0.0114594,-0.00819397,-0.0115051
66,1436607530810,-0.0114594,-0.00498962,-0.010437
67,1436607530831,-0.00291443,0.000350952,-0.00509644
68,1436607530851,-0.008255,-0.00178528,-0.000823975
69,1436607530870,-0.00932312,0.000350952,-0.000823975
70,1436607530890,-0.0125275,-0.000717163,0.00131226
71,1436607530909,-0.017868,0.000350952,0.00131226
72,1436607530930,-0.0200043,-0.00178528,0.00238037
73,1436607530952,-0.0253448,-0.00285339,0.00131226
74,1436607530969,-0.0221405,-0.00178528,0.00344849
75,1436607530988,-0.0210724,-0.00178528,0.00131226
76,1436607531009,-0.0232086,-0.00498962,0.00238037
77,1436607531029,-0.0221405,-0.00392151,0.00131226
78,1436607531051,-0.0232086,-0.00819397,0.000244141
79,1436607531068,-0.0253448,-0.00819397,0.000244141
80,1436607531086,-0.0242767,-0.00819397,-0.000823975
81,1436607531108,-0.0242767,-0.0103302,-0.00189209
82,1436607531127,-0.0242767,-0.00819397,0.000244141
83,1436607531148,-0.0317535,-0.00926208,-0.000823975
84,1436607531167,-0.0285492,-0.00926208,0.000244141
85,1436607531187,-0.0253448,-0.0103302,-0.00189209
86,1436607531207,-0.0200043,-0.00819397,0.000244141
87,1436607531225,-0.0135956,-0.00605774,-0.000823975
88,1436607531247,-0.008255,-0.00605774,0.000244141
89,1436607531266,-0.0103912,-0.00712585,-0.00296021
90,1436607531286,-0.00184631,-0.00605774,-0.00296021
91,1436607531305,-0.00184631,-0.00392151,-0.00189209
92,1436607531326,-0.00505066,-0.00285339,-0.00296021
93,1436607531348,0.00349426,-0.00178528,-0.000823975
94,1436607531365,0.00883484,-0.00392151,0.000244141
95,1436607531385,0.00563049,-0.00605774,0.000244141
96,1436607531403,0.00456238,-0.00285339,0.000244141
97,1436607531425,0.00776672,-0.00178528,-0.00296021
98,1436607531444,0.000289917,-0.00392151,-0.00402832
99,1436607531464,0.00135803,-0.00819397,-0.00616455
100,1436607531484,-0.00611877,-0.00819397,-0.00616455
101,1436607531504,-0.00718689,-0.00712585,-0.00616455
102,1436607531524,-0.000778198,-0.00605774,-0.00402832
103,1436607531543,-0.00505066,-0.00178528,-0.000823975
104,1436607531563,-0.00718689,-0.00605774,0.000244141
105,1436607531584,-0.000778198,-0.00178528,0.00131226
106,1436607531603,0.00776672,-0.000717163,-0.000823975
107,1436607531623,0.00456238,-0.00178528,-0.000823975
108,1436607531642,0.00563049,-0.00392151,-0.00296021
109,1436607531663,-0.00398254,-0.00392151,-0.000823975
110,1436607531682,-0.00718689,-0.000717163,-0.00296021
111,1436607531702,-0.00718689,-0.00285339,-0.000823975
112,1436607531722,-0.00505066,0.000350952,-0.000823975
113,1436607531741,-0.008255,0.00141907,-0.00189209
114,1436607531760,-0.0114594,-0.000717163,-0.000823975
115,1436607531782,-0.0114594,-0.00285339,-0.00616455
116,1436607531801,-0.0167999,-0.00605774,-0.00616455
117,1436607531821,-0.0200043,-0.00712585,-0.00616455
