id,attr_time,attr_x,attr_y,attr_z
1,1436608595915,0.0100403,-0.00590515,0.0019989
2,1436608595936,0.00897217,-0.00270081,0.00413513
3,1436608595956,0.00469971,0.00050354,0.00413513
4,1436608595978,0.00683594,0.00584412,0.00627136
5,1436608595996,0.016449,0.004776,0.00947571
6,1436608596015,0.0239258,0.00263977,0.0105438
7,1436608596034,0.0271301,0.00370789,0.0105438
8,1436608596054,0.035675,0.00691223,0.0105438
9,1436608596075,0.0346069,0.00370789,0.0116119
10,1436608596095,0.0314026,0.00050354,0.00627136
11,1436608596114,0.0207214,-0.00483704,0.000930786
12,1436608596134,0.00576782,-0.0091095,-0.00547791
13,1436608596152,0.00149536,-0.00590515,-0.00761414
14,1436608596174,0.00469971,-0.000564575,-0.00334167
15,1436608596192,0.0132446,0.00370789,0.00413513
16,1436608596216,0.016449,0.004776,0.00627136
17,1436608596233,0.0196533,0.00798035,0.00733948
18,1436608596253,0.0196533,0.00584412,0.0105438
19,1436608596273,0.0100403,0.00370789,0.00947571
20,1436608596293,-0.0027771,0.00263977,0.00840759
21,1436608596315,-0.00918579,0.004776,0.00520325
22,1436608596333,-0.00491333,0.00691223,0.00627136
23,1436608596352,-0.000640869,0.00691223,0.00520325
24,1436608596371,0.00149536,0.0101166,0.00733948
25,1436608596392,0.00149536,0.00904846,0.00520325
26,1436608596412,-0.00811768,0.00584412,0.00413513
27,1436608596432,-0.0155945,0.004776,0.00413513
28,1436608596451,-0.0220032,0.00370789,0.00306702
29,1436608596470,-0.0187988,0.004776,0.0019989
30,1436608596491,-0.0187988,0.00370789,0.0019989
31,1436608596511,-0.0198669,0.00370789,0.000930786
32,1436608596531,-0.0220032,0.00157166,0.0019989
33,1436608596551,-0.0273438,-0.00163269,-0.00227356
34,1436608596569,-0.0273438,-0.000564575,-0.00334167
35,1436608596590,-0.0241394,0.00157166,-0.00120544
36,1436608596611,-0.0230713,-0.000564575,-0.00334167
37,1436608596630,-0.0230713,0.00050354,-0.00120544
38,1436608596649,-0.0262756,0.004776,0.000930786
39,1436608596669,-0.0316162,0.00263977,-0.000137329
40,1436608596689,-0.02948,0.00370789,0.000930786
41,1436608596712,-0.0230713,0.00050354,0.0019989
42,1436608596729,-0.0166626,0.00050354,0.0019989
43,1436608596749,-0.0155945,0.00157166,0.00306702
44,1436608596768,-0.0134583,0.00050354,0.00413513
45,1436608596787,-0.00598145,0.00050354,0.0019989
46,1436608596811,-0.00704956,-0.00163269,-0.00120544
