id,attr_time,attr_x,attr_y,attr_z
1,1436608595914,-0.058390744,0.017675262,-0.02783421
2,1436608595939,-0.057169013,0.01859156,-0.025390748
3,1436608595960,-0.060528774,0.02225675,-0.025085315
4,1436608595979,-0.05900161,0.02561651,-0.02661248
5,1436608595996,-0.056863584,0.024089348,-0.036386322
6,1436608596018,-0.059307043,0.022562183,-0.03944065
7,1436608596076,-0.063888535,0.026227375,-0.045549303
8,1436608596077,-0.06327767,0.021340454,-0.049519926
9,1436608596078,-0.06022334,0.02225675,-0.049214493
10,1436608596099,-0.052587524,0.014010071,-0.047076464
11,1436608596116,-0.050144065,0.01156661,-0.041578677
12,1436608596148,-0.050144065,0.01278834,-0.044633005
13,1436608596163,-0.050144065,0.01156661,-0.03730262
14,1436608596178,-0.0486169,0.013704639,-0.036691755
15,1436608596194,-0.052892957,0.015231801,-0.03730262
16,1436608596215,-0.059612475,0.01859156,-0.03730262
17,1436608596238,-0.06480483,0.024700211,-0.025390748
18,1436608596260,-0.059612475,0.027143674,-0.025085315
19,1436608596275,-0.060528774,0.028670836,-0.018976664
20,1436608596298,-0.058085315,0.028670836,-0.022641856
21,1436608596320,-0.058390744,0.029281702,-0.024779884
22,1436608596338,-0.05991791,0.026838241,-0.02661248
23,1436608596358,-0.058085315,0.017675262,-0.030888537
24,1436608596378,-0.05411469,0.016758965,-0.02661248
25,1436608596398,-0.051060364,0.021645887,-0.02783421
26,1436608596417,-0.053503823,0.020424156,-0.027223345
27,1436608596438,-0.052587524,0.017675262,-0.024169018
28,1436608596458,-0.055641852,0.020118723,-0.016838636
29,1436608596478,-0.061750505,0.022867616,-0.010119118
30,1436608596496,-0.0644994,0.026532808,-0.004010465
31,1436608596515,-0.056863584,0.03233603,0.0024036206
32,1436608596538,-0.052282095,0.027754538,0.003319919
33,1436608596557,-0.05747445,0.024700211,0.0005710237
34,1436608596575,-0.05442012,0.030503431,0.009428572
35,1436608596594,-0.048006035,0.027143674,0.015842654
36,1436608596618,-0.046784304,0.027143674,0.020424146
37,1436608596638,-0.051365793,0.029892568,0.022867605
38,1436608596658,-0.048006035,0.037833814,0.032030586
39,1436608596680,-0.0495332,0.03233603,0.033252317
40,1436608596695,-0.05167123,0.033252325,0.03141972
41,1436608596715,-0.05411469,0.041499007,0.030503418
42,1436608596735,-0.055641852,0.04058271,0.02805996
43,1436608596758,-0.059307043,0.04088814,0.026532795
44,1436608596781,-0.05777988,0.044553332,0.02928169
45,1436608596849,-0.051060364,0.03386319,0.029892556
46,1436608596850,-0.049227767,0.030808864,0.02928169
47,1436608596851,-0.046784304,0.030503431,0.027754527
48,1436608596857,-0.040675655,0.028976269,0.026227366
49,1436608596879,-0.037621327,0.027143674,0.0256165
50,1436608596900,-0.036094166,0.027754538,0.02439477
