id,attr_time,attr_x,attr_y,attr_z
1,1436608596926,-0.013863983,-0.015683299,-0.007861571
2,1436608596927,-0.012031386,-0.012628971,-0.009083303
3,1436608596928,-0.012642251,-0.02851147,-0.0072507057
4,1436608596929,-0.022110663,-0.032787524,-0.012748494
5,1436608596930,-0.016918309,-0.024846276,-0.015497387
6,1436608596931,-0.014169415,-0.024846276,-0.012443061
7,1436608596932,-0.011115089,-0.026984306,-0.010305032
8,1436608596933,-0.013253117,-0.019959355,-0.010305032
9,1436608596934,-0.018445471,-0.018126758,-0.008472437
10,1436608596935,-0.016612876,-0.015377866,-0.0099996
11,1436608596936,-0.014474846,-0.021181086,-0.007861571
12,1436608596937,-0.018140038,-0.026984306,-0.0060289763
13,1436608596938,-0.017529173,-0.01934849,-0.009388735
14,1436608596939,-0.018445471,-0.01690503,-0.0038909484
15,1436608596940,-0.009893358,-0.01110181,-0.009083303
16,1436608596941,-0.018750904,-0.012628971,-0.014581089
17,1436608596942,-0.019667203,-0.02270825,-0.012137628
18,1436608596943,-0.01936177,-0.019959355,-0.00877787
19,1436608596944,-0.017529173,-0.023013683,-0.00877787
20,1436608596945,-0.012031386,-0.03187123,-0.011526763
21,1436608596946,-0.008977059,-0.03003863,-0.009694167
22,1436608596947,-0.011115089,-0.037369013,-0.0072507057
23,1436608596948,-0.016612876,-0.03614728,-0.010305032
24,1436608596949,-0.018140038,-0.033703826,-0.00877787
25,1436608596950,-0.018750904,-0.031565793,-0.00877787
26,1436608596951,-0.014780279,-0.029733198,-0.0060289763
27,1436608596952,-0.015085712,-0.03339839,-0.013664791
28,1436608596953,-0.015696578,-0.035841852,-0.011832195
29,1436608596954,-0.012642251,-0.042561375,-0.010305032
30,1436608596955,-0.014780279,-0.045921132,-0.008472437
31,1436608596956,-0.011725953,-0.04042334,-0.00877787
32,1436608596957,-0.021499798,-0.037369013,-0.008167004
33,1436608596958,-0.01722374,-0.03339839,-0.006639842
34,1436608596959,-0.012642251,-0.02851147,-0.009694167
35,1436608596960,-0.012031386,-0.029733198,-0.004807245
36,1436608596961,-0.0065336004,-0.03492555,-0.010305032
37,1436608596962,-0.0050064363,-0.037369013,-0.008472437
38,1436608596963,-0.012642251,-0.03309296,-0.012443061
39,1436608596964,-0.014169415,-0.03309296,-0.011832195
40,1436608596965,-0.016918309,-0.03217666,-0.011832195
41,1436608596966,-0.015696578,-0.035536416,-0.012748494
42,1436608596967,-0.016307443,-0.035841852,-0.011832195
43,1436608596968,-0.012947684,-0.03217666,-0.008167004
44,1436608596969,-0.015085712,-0.02057022,-0.009388735
45,1436608596970,-0.015391145,-0.018737623,-0.015191955
46,1436608596971,-0.012031386,-0.025457142,-0.0014474858
47,1436608596972,-0.012642251,-0.020264788,-0.0060289763
48,1436608596973,-0.014780279,-0.01934849,-0.0057235435
49,1436608596974,-0.018445471,-0.021791952,-0.008167004
50,1436608596975,-0.021194365,-0.024846276,-0.0054181106
51,1436608596976,-0.020888932,-0.018126758,-0.009083303
52,1436608596977,-0.015696578,-0.016599597,-0.00877787
53,1436608596978,-0.017834606,-0.01110181,-0.013970224
54,1436608596979,-0.020278066,-0.02851147,-0.014581089
55,1436608596994,-0.015696578,-0.026678873,-0.0075561386
56,1436608597014,-0.014474846,-0.027595172,-0.0075561386
57,1436608597034,-0.016918309,-0.022402817,-0.009694167
58,1436608597054,-0.019056337,-0.015988732,-0.012137628
59,1436608597074,-0.018445471,-0.016294165,-0.011526763
60,1436608597094,-0.01600201,-0.020875653,-0.00877787
61,1436608597114,-0.02180523,-0.018737623,-0.0099996
62,1436608597134,-0.015085712,-0.017210463,-0.006334409
63,1436608597154,-0.014780279,-0.019959355,-0.00877787
64,1436608597176,-0.017529173,-0.015377866,-0.010305032
65,1436608597197,-0.015391145,-0.021181086,-0.00877787
66,1436608597219,-0.011725953,-0.022402817,-0.0054181106
67,1436608597238,-0.014474846,-0.015683299,-0.0041963793
68,1436608597260,-0.012031386,-0.020264788,-0.00877787
69,1436608597278,-0.008060763,-0.017210463,-0.0075561386
70,1436608597298,-0.012947684,-0.020264788,-0.011221331
71,1436608597319,-0.018750904,-0.021486519,-0.0099996
72,1436608597336,-0.015391145,-0.017210463,-0.006639842
73,1436608597356,-0.011420522,-0.021486519,-0.009388735
74,1436608597376,-0.012031386,-0.020264788,-0.00877787
75,1436608597398,-0.018140038,-0.02057022,-0.008472437
76,1436608597418,-0.015391145,-0.024540843,-0.0099996
77,1436608597440,-0.0205835,-0.024846276,-0.00877787
78,1436608597458,-0.020888932,-0.018737623,-0.013970224
79,1436608597476,-0.012031386,-0.014767,-0.012443061
80,1436608597505,-0.01722374,-0.015988732,-0.011526763
81,1436608597518,-0.010504223,-0.016294165,-0.009083303
82,1436608597537,-0.012031386,-0.016294165,-0.0072507057
83,1436608597559,-0.014474846,-0.018737623,-0.0057235435
84,1436608597579,-0.019056337,-0.03309296,-0.011832195
85,1436608597597,-0.017834606,-0.020875653,-0.0099996
86,1436608597617,-0.016307443,-0.011407243,-0.0075561386
87,1436608597638,-0.011725953,-0.015072433,-0.011526763
88,1436608597659,-0.018445471,-0.012628971,-0.017329983
89,1436608597679,-0.016918309,-0.01934849,-0.0133593585
90,1436608597699,-0.011725953,-0.02270825,-0.010915898
91,1436608597717,-0.010504223,-0.021791952,-0.00877787
92,1436608597739,-0.013253117,-0.024846276,-0.006945273
93,1436608597759,-0.016918309,-0.018737623,-0.009083303
94,1436608597779,-0.016307443,-0.015683299,-0.009388735
95,1436608597799,-0.015085712,-0.021181086,-0.0133593585
96,1436608597818,-0.015391145,-0.021181086,-0.014886522
97,1436608597839,-0.01722374,-0.021791952,-0.012443061
98,1436608597858,-0.011725953,-0.015377866,-0.0133593585
99,1436608597880,-0.007449897,-0.014461568,-0.0099996
100,1436608597900,-0.005311869,-0.015072433,-0.007861571
101,1436608597917,-0.015696578,-0.015072433,-0.009388735
102,1436608597939,-0.015391145,-0.011407243,-0.0075561386
103,1436608597958,-0.010198791,-0.019653922,-0.010915898
104,1436608597979,-0.012642251,-0.024846276,-0.012137628
105,1436608597997,-0.017834606,-0.021486519,-0.010610465
106,1436608598022,-0.016918309,-0.010796377,-0.01580282
107,1436608598042,-0.01600201,-0.015988732,-0.016413685
108,1436608598062,-0.015391145,-0.01690503,-0.011221331
109,1436608598079,-0.013253117,-0.020875653,-0.0099996
110,1436608598098,-0.012031386,-0.013850702,-0.013053927
111,1436608598119,-0.009282492,-0.01934849,-0.013970224
112,1436608598140,-0.014169415,-0.012018105,-0.009388735
113,1436608598159,-0.011420522,-0.013545269,-0.010305032
114,1436608598178,-0.010809656,-0.017515896,-0.010305032
115,1436608598248,-0.014780279,-0.019043056,-0.012137628
116,1436608598249,-0.014780279,-0.016294165,-0.009083303
117,1436608598250,-0.017834606,-0.0089637805,-0.00877787
118,1436608598258,-0.012031386,-0.009269213,-0.006639842
119,1436608598282,-0.010504223,-0.010796377,-0.00877787
120,1436608598298,-0.01600201,-0.012323538,-0.010305032
121,1436608598319,-0.020888932,-0.011712676,-0.0072507057
122,1436608598340,-0.018445471,-0.0052985884,-0.00877787
123,1436608598360,-0.015391145,-0.0031605605,-0.009388735
124,1436608598379,-0.017834606,-0.0031605605,-0.012443061
125,1436608598398,-0.014474846,-0.004076859,-0.012443061
126,1436608598420,-0.011725953,-0.010185512,-0.009083303
127,1436608598438,-0.012642251,-0.0129344035,-0.008167004
128,1436608598460,-0.020888932,-0.021181086,-0.010610465
129,1436608598480,-0.022721529,-0.013850702,-0.008167004
130,1436608598500,-0.0205835,-0.014156135,-0.012443061
131,1436608598520,-0.023332393,-0.015988732,-0.009083303
132,1436608598538,-0.020278066,-0.008352915,-0.014581089
133,1436608598560,-0.018445471,-0.009269213,-0.009694167
134,1436608598580,-0.01936177,-0.013545269,-0.010610465
135,1436608598600,-0.016918309,-0.014767,-0.011526763
136,1436608598619,-0.015085712,-0.017515896,-0.004501812
137,1436608598639,-0.019667203,-0.015072433,-0.008167004
138,1436608598659,-0.01355855,-0.0129344035,-0.008472437
139,1436608598680,-0.018750904,-0.012018105,-0.0057235435
140,1436608598700,-0.018750904,-0.013850702,-0.010305032
141,1436608598721,-0.01355855,-0.012628971,-0.011526763
142,1436608598741,-0.018140038,-0.015072433,-0.010915898
143,1436608598759,-0.01600201,-0.011712676,-0.013664791
144,1436608598779,-0.01722374,-0.013239836,-0.007861571
145,1436608598800,-0.012642251,-0.0089637805,-0.010305032
146,1436608598820,-0.018140038,-0.010490945,-0.00877787
147,1436608598840,-0.014169415,-0.01690503,-0.006639842
148,1436608598859,-0.011725953,-0.018126758,-0.010915898
149,1436608598885,-0.009893358,-0.024540843,-0.015191955
150,1436608598999,-0.014474846,-0.023319112,-0.011832195
151,1436608599000,-0.015696578,-0.020264788,-0.010610465
152,1436608599001,-0.011420522,-0.01843219,-0.010915898
153,1436608599002,-0.012947684,-0.02057022,-0.012137628
154,1436608599003,-0.015696578,-0.015988732,-0.010610465
155,1436608599004,-0.0123368185,-0.013545269,-0.0057235435
156,1436608599021,-0.01600201,-0.01843219,-0.0041963793
157,1436608599038,-0.009587925,-0.018737623,-0.006639842
158,1436608599059,-0.014169415,-0.018126758,-0.0072507057
159,1436608599081,-0.016918309,-0.015683299,-0.007861571
160,1436608599098,-0.015391145,-0.016599597,-0.008167004
161,1436608599119,-0.009282492,-0.01110181,-0.009388735
162,1436608599140,-0.013863983,-0.0019388311,-0.011526763
163,1436608599160,-0.014780279,-0.0068257526,-0.010915898
164,1436608599179,-0.010198791,-0.014461568,-0.011526763
165,1436608599201,-0.008060763,-0.01934849,-0.011526763
166,1436608599221,-0.01355855,-0.020875653,-0.007861571
167,1436608599241,-0.009282492,-0.015683299,-0.0054181106
168,1436608599260,-0.016612876,-0.014156135,-0.0075561386
169,1436608599281,-0.019056337,-0.019653922,-0.008472437
170,1436608599299,-0.016918309,-0.020875653,-0.013970224
171,1436608599321,-0.018140038,-0.022097385,-0.013970224
172,1436608599340,-0.014474846,-0.023319112,-0.010305032
