id,attr_time,attr_x,attr_y,attr_z
1,1436625480215,9.853935,-0.05327099,0.3561375
2,1436625480237,9.80665,-0.044891283,0.3357868
3,1436625480254,9.788693,-0.075417355,0.24660277
4,1436625480274,9.871294,-0.10295067,0.33279404
5,1436625480293,9.914988,-0.037708677,0.41958386
6,1436625480314,9.774328,0.019752163,0.32022446
7,1436625480333,9.731832,-0.03172317,0.24121583
8,1436625480353,9.750985,-0.107140526,0.3405752
9,1436625480374,9.868899,-0.130484,0.32621
10,1436625480393,9.9233675,-0.091578215,0.29269117
11,1436625480414,10.005369,-0.05805939,0.29448682
12,1436625480434,10.014347,-0.034715924,0.32441434
13,1436625480453,9.950901,-0.04309563,0.3309984
14,1436625480473,9.889849,-0.06284779,0.2837129
15,1436625480493,9.808446,-0.018555064,0.29448682
16,1436625480518,9.814431,0.027533319,0.31124622
17,1436625480541,9.837176,0.079008654,0.30107087
18,1436625480553,9.911396,0.093373865,0.2669535
19,1436625480573,9.932944,0.073621705,0.25857377
20,1436625480593,9.936536,0.020350715,0.207697
21,1436625480613,9.886257,-0.018555064,0.1921347
22,1436625480633,9.891046,-0.023343466,0.15203181
23,1436625480653,9.905411,-0.02873042,0.13227965
24,1436625480673,9.896433,-0.0011971008,0.14425065
25,1436625480693,9.93474,-0.009576807,0.19033903
26,1436625480713,9.980828,-0.027533319,0.24660277
27,1436625480734,9.950302,-0.010175358,0.26635495
28,1436625480754,9.904214,-0.044292733,0.2693477
29,1436625480775,9.841366,-0.060453594,0.25917232
30,1436625480831,9.750985,-0.0035913025,0.13706805
31,1436625480832,9.858724,-0.002992752,0.1400608
32,1436625480834,10.004171,-0.019752163,0.09876082
33,1436625480854,10.014946,0.05566519,0.1604115
34,1436625480874,9.979631,0.05805939,0.21667525
35,1436625480894,9.938332,-0.020350715,0.20051439
36,1436625480914,9.96347,-0.09636662,0.24361002
37,1436625480947,9.988609,-0.11971009,0.30765492
38,1436625480954,9.972448,-0.044891283,0.2873042
39,1436625480975,9.923966,-0.025139118,0.2172738
40,1436625480996,9.880871,-0.06344634,0.2160767
41,1436625481018,9.874885,-0.0724246,0.23642741
42,1436625481037,9.850943,-0.11851298,0.22804771
43,1436625481055,9.877279,-0.026934769,0.27473465
44,1436625481076,9.8916445,0.0077811554,0.32800564
45,1436625481099,9.941324,0.0023942017,0.28909984
46,1436625481118,9.943718,-0.037110128,0.2621651
47,1436625481155,9.91439,-0.077811554,0.31304187
48,1436625481156,9.910798,-0.108936176,0.37588966
49,1436625481174,9.878476,-0.09995792,0.39743748
50,1436625481196,9.844957,-0.08738836,0.42437226
51,1436625481216,9.870695,-0.02873042,0.44651863
52,1436625481238,9.871892,0.013766659,0.47764325
53,1436625481255,9.885659,-0.022744916,0.4285621
54,1436625481277,9.864111,-0.06284779,0.4345476
55,1436625481298,9.834782,-0.14065935,0.4830302
56,1436625481315,9.844957,-0.12689269,0.4782418
57,1436625481339,9.831191,-0.14844051,0.4914099
58,1436625481355,9.871294,-0.10594343,0.5434838
59,1436625481377,9.940127,-0.08379706,0.54527944
60,1436625481399,9.979631,-0.11252748,0.545878
61,1436625481419,9.887454,-0.10235212,0.6302736
62,1436625481437,9.800066,-0.110133275,0.62728083
63,1436625481458,9.8042555,-0.16639702,0.61171854
64,1436625481474,9.846753,-0.11911154,0.59735334
65,1436625481497,9.828198,-0.030526072,0.6572084
66,1436625481519,9.873089,-0.059855044,0.6440403
67,1436625481536,9.880871,-0.16160862,0.6799533
68,1436625481558,9.895834,-0.17896658,0.7757214
69,1436625481575,9.843162,-0.13946225,0.79248077
70,1436625481597,9.818023,-0.09816227,0.7326257
71,1436625481621,9.807249,-0.109534726,0.7350199
