id,attr_time,attr_x,attr_y,attr_z
1,1436619017621,-9.5946,-2.25946,1.04761
2,1436619017636,-9.58485,-2.248,1.04022
3,1436619017661,-9.54555,-2.23378,1.08922
4,1436619017674,-9.55017,-2.23215,1.06444
5,1436619017700,-9.55051,-2.23875,1.06226
6,1436619017714,-9.55095,-2.26648,1.04066
7,1436619017740,-9.53735,-2.2814,1.06305
8,1436619017754,-9.57005,-2.30592,1.02345
9,1436619017779,-9.54533,-2.26944,1.06265
10,1436619017794,-9.52747,-2.27777,1.07208
11,1436619017818,-9.55194,-2.28836,1.07019
12,1436619017833,-9.57208,-2.26764,1.03494
13,1436619017858,-9.56665,-2.25442,1.06406
14,1436619017872,-9.53354,-2.26071,1.0618
15,1436619017898,-9.53839,-2.28458,1.03729
16,1436619017912,-9.59557,-2.28134,1.0562
17,1436619017937,-9.55188,-2.27222,1.07591
18,1436619017951,-9.51605,-2.22069,1.04816
19,1436619017976,-9.49493,-2.2099,1.0746
20,1436619018001,-9.4932,-2.18146,1.08644
21,1436619018016,-9.5271,-2.1935,1.12648
22,1436619018040,-9.55681,-2.23732,1.07631
23,1436619018055,-9.56929,-2.2383,1.03201
24,1436619018080,-9.54973,-2.29987,1.04396
25,1436619018095,-9.57808,-2.32616,0.972809
26,1436619018120,-9.57301,-2.32115,1.05075
27,1436619018134,-9.53975,-2.24342,1.06998
28,1436619018159,-9.50664,-2.24899,1.06949
29,1436619018188,-9.55202,-2.27437,1.07404
30,1436619018199,-9.54315,-2.32085,1.10492
31,1436619018227,-9.56602,-2.31203,1.05849
32,1436619018237,-9.56445,-2.25781,1.0961
33,1436619018268,-9.55898,-2.23338,1.11856
34,1436619018276,-9.53091,-2.2422,1.12065
35,1436619018305,-9.54796,-2.22153,1.12761
36,1436619018316,-9.53914,-2.2218,1.08482
37,1436619018347,-9.58073,-2.209,1.08592
38,1436619018356,-9.57158,-2.21344,1.06371
39,1436619018386,-9.552,-2.22636,1.05331
40,1436619018395,-9.53592,-2.20567,1.10336
41,1436619018425,-9.53435,-2.19731,1.07568
42,1436619018435,-9.51679,-2.19717,1.0984
43,1436619018465,-9.50275,-2.1886,1.10245
44,1436619018489,-9.53433,-2.24411,1.0869
45,1436619018504,-9.52928,-2.22171,1.06531
46,1436619018529,-9.57352,-2.21669,1.06738
47,1436619018544,-9.55542,-2.24486,1.1012
48,1436619018569,-9.56389,-2.267,1.12196
49,1436619018583,-9.54657,-2.22748,1.14345
50,1436619018608,-9.52773,-2.22227,1.11679
51,1436619018623,-9.53314,-2.22101,1.09941
52,1436619018647,-9.53111,-2.23334,1.14264
53,1436619018663,-9.52808,-2.24295,1.17419
54,1436619018687,-9.53169,-2.25697,1.14227
55,1436619018701,-9.54012,-2.24974,1.1433
56,1436619018727,-9.54996,-2.26755,1.08933
57,1436619018741,-9.54598,-2.26465,1.09738
58,1436619018764,-9.52019,-2.27704,1.09216
59,1436619018780,-9.4747,-2.29782,1.10115
60,1436619018804,-9.48486,-2.29938,1.07339
61,1436619018820,-9.52029,-2.32046,1.05916
62,1436619018845,-9.50868,-2.33044,1.03651
63,1436619018860,-9.51277,-2.32932,1.0874
64,1436619018885,-9.53293,-2.3008,1.08977
65,1436619018899,-9.53339,-2.2968,1.10333
66,1436619018924,-9.54134,-2.25877,1.13054
67,1436619018939,-9.5693,-2.24609,1.08803
68,1436619018964,-9.55516,-2.26221,1.08684
69,1436619018987,-9.59067,-2.23384,1.16725
70,1436619019003,-9.58179,-2.26195,1.18425
71,1436619019027,-9.54997,-2.21284,1.18864
72,1436619019043,-9.52828,-2.14203,1.21951
73,1436619019067,-9.51239,-2.14801,1.25134
74,1436619019081,-9.52008,-2.13187,1.23332
75,1436619019106,-9.50587,-2.16914,1.13354
76,1436619019121,-9.54584,-2.20616,1.13567
77,1436619019146,-9.57343,-2.24721,1.06738
78,1436619019161,-9.60037,-2.293,1.06612
79,1436619019186,-9.58232,-2.31573,1.07779
80,1436619019200,-9.5275,-2.28394,1.13013
81,1436619019224,-9.48994,-2.27423,1.07272
82,1436619019255,-9.4717,-2.25261,1.09749
83,1436619019264,-9.45583,-2.27739,1.0984
84,1436619019293,-9.46526,-2.30618,1.08144
85,1436619019304,-9.52153,-2.31129,1.10953
86,1436619019332,-9.53986,-2.28381,1.09221
87,1436619019343,-9.5605,-2.28885,1.10764
88,1436619019373,-9.51866,-2.2962,1.11671
89,1436619019383,-9.49283,-2.25562,1.16534
90,1436619019412,-9.46089,-2.26817,1.15987
91,1436619019423,-9.4792,-2.24008,1.15704
92,1436619019452,-9.49631,-2.27892,1.11258
93,1436619019477,-9.5669,-2.30688,1.1494
94,1436619019491,-9.57942,-2.28355,1.13371
95,1436619019516,-9.56496,-2.25777,1.18275
96,1436619019531,-9.58545,-2.27701,1.16115
97,1436619019556,-9.52145,-2.23846,1.16939
98,1436619019571,-9.46484,-2.23936,1.20148
99,1436619019595,-9.46527,-2.24797,1.19698
100,1436619019608,-9.50412,-2.26118,1.1301
101,1436619019634,-9.52243,-2.30574,1.13113
102,1436619019648,-9.54858,-2.29269,1.13885
103,1436619019674,-9.567,-2.32504,1.11403
104,1436619019689,-9.53082,-2.3044,1.09239
105,1436619019714,-9.51623,-2.29541,1.07707
106,1436619019728,-9.50102,-2.26295,1.07201
107,1436619019752,-9.51942,-2.25787,1.05344
108,1436619019767,-9.54056,-2.27667,1.0416
109,1436619019792,-9.49388,-2.26913,1.06998
110,1436619019808,-9.51947,-2.28247,1.05661
111,1436619019832,-9.57927,-2.23308,1.06575
112,1436619019847,-9.56587,-2.22711,1.0433
113,1436619019872,-9.55414,-2.21355,1.05272
114,1436619019886,-9.54466,-2.22876,1.09483
115,1436619019911,-9.5437,-2.23572,1.11118
116,1436619019926,-9.55073,-2.22966,1.1013
117,1436619019951,-9.56407,-2.2485,1.10182
118,1436619019974,-9.60402,-2.24692,1.10957
119,1436619019990,-9.55142,-2.2446,1.15231
120,1436619020015,-9.6299,-2.26559,1.13472
121,1436619020029,-9.66885,-2.2854,1.12744
122,1436619020054,-9.62087,-2.26555,1.09862
123,1436619020068,-9.55106,-2.21753,1.08888
124,1436619020093,-9.54854,-2.22314,1.09038
125,1436619020107,-9.48753,-2.2047,1.07921
126,1436619020134,-9.5208,-2.24026,1.04132
127,1436619020148,-9.50491,-2.22075,1.0004
128,1436619020172,-9.55614,-2.26511,1.00528
129,1436619020187,-9.58882,-2.28467,0.969635
130,1436619020211,-9.61723,-2.28731,0.98613
131,1436619020241,-9.60988,-2.28207,0.987793
132,1436619020252,-9.51755,-2.24971,0.980743
133,1436619020280,-9.52403,-2.25412,1.03505
134,1436619020289,-9.54851,-2.23151,1.02289
135,1436619020319,-9.47884,-2.21152,1.0542
136,1436619020330,-9.53607,-2.26187,1.03996
137,1436619020360,-9.57527,-2.23376,1.04463
138,1436619020369,-9.55786,-2.22598,1.069
139,1436619020400,-9.55151,-2.24368,1.06546
140,1436619020424,-9.53757,-2.25504,1.04214
141,1436619020438,-9.552,-2.22894,1.04337
142,1436619020464,-9.52222,-2.24277,1.07146
143,1436619020478,-9.554,-2.23412,1.07059
144,1436619020503,-9.51749,-2.26213,1.09424
145,1436619020518,-9.54649,-2.27086,1.05508
146,1436619020543,-9.52934,-2.23955,1.00717
147,1436619020557,-9.51025,-2.25714,1.06065
148,1436619020582,-9.49499,-2.3064,1.02853
149,1436619020595,-9.5329,-2.28699,1.04369
150,1436619020622,-9.52176,-2.26431,1.04106
151,1436619020635,-9.48839,-2.21768,0.994873
152,1436619020661,-9.52139,-2.26782,1.00374
153,1436619020676,-9.53714,-2.27544,0.943939
154,1436619020701,-9.54158,-2.25421,0.9599
155,1436619020715,-9.54852,-2.26096,0.978516
156,1436619020739,-9.56303,-2.25078,0.982254
157,1436619020755,-9.55606,-2.22968,1.00223
158,1436619020779,-9.50331,-2.21805,1.00085
159,1436619020794,-9.52812,-2.21552,1.02055
160,1436619020819,-9.53285,-2.1781,1.0119
161,1436619020834,-9.5581,-2.21648,1.04181
162,1436619020858,-9.56119,-2.21971,1.06082
163,1436619020873,-9.59154,-2.23642,1.05692
164,1436619020898,-9.60738,-2.24318,1.12585
165,1436619020911,-9.60565,-2.2227,1.14455
166,1436619020937,-9.57503,-2.2915,1.13594
167,1436619020962,-9.5273,-2.27779,1.13188
168,1436619020977,-9.5204,-2.2084,1.08159
169,1436619021001,-9.56268,-2.24956,1.08655
170,1436619021016,-9.58968,-2.30481,1.0826
171,1436619021041,-9.56955,-2.2885,1.09457
172,1436619021055,-9.60921,-2.33678,1.0708
173,1436619021081,-9.60428,-2.31024,1.13661
174,1436619021095,-9.57132,-2.26227,1.08733
175,1436619021120,-9.513,-2.29376,1.10388
176,1436619021135,-9.47954,-2.30916,1.07257
177,1436619021157,-9.47078,-2.26141,1.06841
178,1436619021174,-9.4814,-2.22261,1.04546
179,1436619021198,-9.47655,-2.29645,1.05507
180,1436619021228,-9.51587,-2.27246,1.06024
181,1436619021238,-9.5715,-2.298,1.00119
182,1436619021269,-9.55656,-2.27246,1.00795
183,1436619021277,-9.54323,-2.32541,1.06613
184,1436619021307,-9.46347,-2.31638,1.0652
185,1436619021317,-9.55727,-2.37868,1.0079
186,1436619021347,-9.57513,-2.38345,0.984695
187,1436619021356,-9.52483,-2.49902,0.938919
188,1436619021386,-9.51001,-2.5134,0.920013
189,1436619021410,-9.46484,-2.49567,0.930527
190,1436619021426,-9.5211,-2.52638,0.96814
191,1436619021436,-9.56795,-2.4924,0.96347
192,1436619021466,-9.6618,-2.50945,0.993042
193,1436619021490,-9.64825,-2.44521,0.956238
194,1436619021505,-9.61345,-2.45818,0.990082
195,1436619021530,-9.59721,-2.52232,0.891037
196,1436619021544,-9.57696,-2.49011,0.917496
197,1436619021569,-9.55142,-2.31779,0.96611
198,1436619021585,-9.60069,-2.14119,1.03561
199,1436619021609,-9.71088,-1.97032,0.941361
200,1436619021622,-9.70103,-1.96594,0.893997
201,1436619021648,-9.89615,-2.09882,0.798935
202,1436619021663,-10.0649,-2.04021,0.80986
203,1436619021685,-10.2446,-1.83646,0.754532
204,1436619021702,-10.2012,-1.68675,0.900391
205,1436619021726,-10.25,-1.60397,1.25162
206,1436619021742,-10.1522,-1.61523,1.41406
207,1436619021767,-9.93607,-1.6824,1.54564
208,1436619021781,-9.75322,-1.76549,1.64275
209,1436619021803,-9.58618,-1.60822,1.84685
210,1436619021821,-9.39389,-1.75476,1.83281
211,1436619021845,-9.35626,-1.80814,1.85712
212,1436619021860,-9.46736,-2.03679,1.69347
213,1436619021884,-9.63184,-1.84077,1.75595
214,1436619021898,-9.8114,-1.43646,2.08662
215,1436619021924,-9.94823,-1.94983,2.16347
216,1436619021948,-9.71768,-2.70663,1.86034
217,1436619021964,-9.1658,-2.7666,1.46561
218,1436619021989,-8.74454,-1.93713,1.71226
219,1436619022002,-8.42932,-1.91306,1.65721
220,1436619022028,-8.45329,-1.46249,1.50388
221,1436619022042,-8.46915,-1.25713,1.32518
222,1436619022067,-8.44301,-1.23169,1.57141
223,1436619022082,-8.44911,-1.7149,1.19914
224,1436619022107,-8.32689,-1.89145,1.09639
225,1436619022122,-8.38936,-2.04402,1.06288
226,1436619022145,-8.55527,-1.97617,1.04625
227,1436619022161,-8.68327,-1.93353,1.14153
228,1436619022186,-8.8186,-1.98134,1.24176
229,1436619022214,-8.96332,-1.94373,1.3847
230,1436619022225,-8.89534,-1.93982,1.40208
231,1436619022253,-8.90805,-1.94855,1.3705
232,1436619022265,-9.23321,-2.16638,1.4026
233,1436619022294,-9.69673,-2.32823,1.41106
234,1436619022302,-10.5521,-2.18884,1.57996
235,1436619022334,-11.2893,-2.26741,1.61696
236,1436619022343,-11.3934,-2.02971,1.38271
237,1436619022373,-11.855,-2.02422,1.22618
238,1436619022384,-13.2007,-2.42564,1.06615
239,1436619022413,-14.348,-2.69702,0.967056
240,1436619022437,-14.9298,-2.73581,0.862823
241,1436619022452,-14.383,-2.64096,0.434418
242,1436619022477,-12.8705,-1.96906,0.28154
243,1436619022492,-11.7221,-1.16003,-0.185516
244,1436619022516,-10.6456,-0.104843,0.0583801
245,1436619022530,-10.5489,-0.014328,0.315216
246,1436619022556,-10.9922,-0.189362,0.849731
247,1436619022571,-11.2681,-0.501602,1.15211
248,1436619022596,-11.2358,-0.871964,0.760635
249,1436619022610,-11.0196,-0.970398,0.986069
250,1436619022635,-10.6535,-1.53922,0.083374
251,1436619022650,-10.34,-2.19315,-0.489487
252,1436619022673,-9.19847,-2.05994,-0.627289
253,1436619022689,-8.62997,-2.37103,-0.926605
254,1436619022713,-7.9398,-2.38931,-1.09679
255,1436619022729,-7.45514,-2.30177,-1.10774
256,1436619022754,-7.09824,-2.28979,-1.04776
257,1436619022768,-6.93581,-2.35852,-0.980286
258,1436619022792,-6.8671,-2.25864,-1.08293
259,1436619022807,-7.15108,-2.1776,-1.0795
260,1436619022833,-7.57181,-2.13844,-1.05724
261,1436619022847,-8.09126,-1.95952,-1.03398
