id,attr_time,attr_x,attr_y,attr_z
1,1436619017603,-0.66738373,9.545084,-0.2148796
2,1436619017624,-0.6655881,9.560047,-0.22146365
3,1436619017644,-0.6619968,9.562442,-0.20709845
4,1436619017664,-0.641646,9.558251,-0.23283611
5,1436619017683,-0.6757634,9.559449,-0.23463176
6,1436619017705,-0.6805518,9.561244,-0.17836803
7,1436619017725,-0.6847417,9.574412,-0.18195933
8,1436619017745,-0.6787562,9.552266,-0.20051439
9,1436619017765,-0.6404489,9.555259,-0.23702596
10,1436619017783,-0.6398504,9.536105,-0.23104046
11,1436619017802,-0.6290765,9.572019,-0.23163901
12,1436619017825,-0.65182143,9.592968,-0.22744916
13,1436619017842,-0.6655881,9.570223,-0.22744916
14,1436619017862,-0.6865373,9.560646,-0.23343466
15,1436619017883,-0.7170634,9.5732155,-0.24720132
16,1436619017907,-0.7158663,9.573814,-0.23223756
17,1436619017927,-0.6691794,9.582193,-0.2124854
18,1436619017948,-0.635062,9.555858,-0.19393034
19,1436619017965,-0.6051345,9.567828,-0.20530279
20,1436619017984,-0.58538234,9.531317,-0.22026655
21,1436619018002,-0.6051345,9.55885,-0.22325931
22,1436619018022,-0.6452374,9.55885,-0.2172738
23,1436619018044,-0.6835446,9.566033,-0.23523031
24,1436619018067,-0.7104794,9.572617,-0.25677812
25,1436619018125,-0.705691,9.574412,-0.18195933
26,1436619018126,-0.6733692,9.583391,-0.19812019
27,1436619018127,-0.6368576,9.560646,-0.25617957
28,1436619018182,-0.58777654,9.540296,-0.22924481
29,1436619018183,-0.58119243,9.549872,-0.28191724
30,1436619018184,-0.6099229,9.560646,-0.23044191
31,1436619018222,-0.6362591,9.5798,-0.24361002
32,1436619018223,-0.64703304,9.546281,-0.219668
33,1436619018252,-0.6667852,9.559449,-0.21547815
34,1436619018267,-0.6434417,9.5732155,-0.23463176
35,1436619018282,-0.6500258,9.568427,-0.21547815
36,1436619018335,-0.6422446,9.5492735,-0.26515785
37,1436619018366,-0.64463884,9.562442,-0.24600422
38,1436619018367,-0.65062433,9.598354,-0.24241292
39,1436619018368,-0.688333,9.565434,-0.25258827
40,1436619018386,-0.6865373,9.555259,-0.22026655
41,1436619018405,-0.6877344,9.542689,-0.20410569
42,1436619018425,-0.6631939,9.582792,-0.19393034
43,1436619018445,-0.6362591,9.559449,-0.22744916
44,1436619018465,-0.60573304,9.568427,-0.24001873
45,1436619018485,-0.6242881,9.591172,-0.23582886
46,1436619018506,-0.6278794,9.564836,-0.22804771
47,1436619018525,-0.6739678,9.584588,-0.23942018
48,1436619018545,-0.6847417,9.534309,-0.23942018
49,1436619018565,-0.6607997,9.543288,-0.25258827
50,1436619018585,-0.62249243,9.566033,-0.25917232
51,1436619018605,-0.60453594,9.591172,-0.22565351
52,1436619018626,-0.6027403,9.540296,-0.2220622
53,1436619018642,-0.60932434,9.547478,-0.23942018
54,1436619018665,-0.65062433,9.554661,-0.22505496
55,1436619018683,-0.6793547,9.572617,-0.22625206
56,1436619018703,-0.6793547,9.575011,-0.20290859
57,1436619018723,-0.6410475,9.575011,-0.23104046
58,1436619018746,-0.6338649,9.566033,-0.23882163
59,1436619018766,-0.641646,9.561843,-0.24301147
60,1436619018785,-0.62847793,9.578004,-0.23403321
61,1436619018805,-0.61770403,9.560047,-0.23044191
62,1436619018824,-0.6356605,9.576208,-0.22744916
63,1436619018844,-0.65660983,9.564238,-0.24121583
64,1436619018864,-0.641646,9.57142,-0.22804771
65,1436619018885,-0.59615624,9.5570545,-0.24839842
66,1436619018910,-0.6404489,9.545084,-0.25019407
67,1436619018975,-0.65242,9.587581,-0.2172738
68,1436619018976,-0.66618663,9.569624,-0.2124854
69,1436619018977,-0.65301853,9.568427,-0.23822308
70,1436619018992,-0.61650693,9.578004,-0.24480712
71,1436619019003,-0.6063316,9.567828,-0.23942018
72,1436619019027,-0.6607997,9.563639,-0.23582886
73,1436619019043,-0.6584055,9.582792,-0.23582886
74,1436619019063,-0.62728083,9.570223,-0.23822308
75,1436619019084,-0.60693014,9.518148,-0.22625206
76,1436619019103,-0.65780693,9.559449,-0.20829555
77,1436619019123,-0.6865373,9.555858,-0.2100912
78,1436619019144,-0.6679823,9.576208,-0.17178397
79,1436619019165,-0.6823475,9.566631,-0.19991584
80,1436619019186,-0.66139823,9.552266,-0.24181437
81,1436619019207,-0.66259533,9.564238,-0.2813187
82,1436619019224,-0.6410475,9.587581,-0.22385786
83,1436619019245,-0.6278794,9.532514,-0.19991584
84,1436619019266,-0.5943606,9.533113,-0.23044191
85,1436619019286,-0.6051345,9.536105,-0.24720132
86,1436619019303,-0.641646,9.589975,-0.22445641
87,1436619019325,-0.6619968,9.572019,-0.20231004
88,1436619019348,-0.6745663,9.578603,-0.18914193
89,1436619019371,-0.66498953,9.561843,-0.2172738
90,1436619019383,-0.6488287,9.56304,-0.22924481
91,1436619019404,-0.65900403,9.585187,-0.23104046
92,1436619019430,-0.6536171,9.585785,-0.22685061
93,1436619019444,-0.6422446,9.555858,-0.21906945
94,1436619019465,-0.664391,9.576807,-0.19752164
95,1436619019483,-0.66738373,9.558251,-0.20709845
96,1436619019531,-0.6835446,9.539697,-0.23403321
97,1436619019532,-0.7009025,9.572617,-0.24001873
98,1436619019543,-0.65421563,9.582193,-0.18674773
99,1436619019563,-0.6344634,9.551069,-0.20051439
100,1436619019583,-0.66379243,9.560047,-0.24480712
101,1436619019603,-0.7009025,9.5492735,-0.22146365
102,1436619019623,-0.7272388,9.574412,-0.17357962
103,1436619019643,-0.7182605,9.56723,-0.15143326
104,1436619019663,-0.6841431,9.573814,-0.16220717
105,1436619019695,-0.670975,9.554661,-0.21547815
106,1436619019704,-0.65660983,9.560646,-0.22445641
107,1436619019723,-0.62129533,9.554062,-0.1933318
108,1436619019743,-0.66259533,9.552865,-0.2112883
109,1436619019767,-0.705691,9.578603,-0.25498247
110,1436619019783,-0.7152678,9.56304,-0.18136078
111,1436619019804,-0.6859388,9.5385,-0.15562311
112,1436619019823,-0.6548142,9.554661,-0.2208651
113,1436619019847,-0.6171055,9.556456,-0.25258827
114,1436619019863,-0.6362591,9.560047,-0.20949265
115,1436619019883,-0.6727707,9.564238,-0.23104046
116,1436619019903,-0.6811504,9.566631,-0.20829555
117,1436619019923,-0.74758947,9.561843,-0.16519992
118,1436619019943,-0.7433996,9.560646,-0.12030864
119,1436619019963,-0.75716627,9.580399,-0.15682021
120,1436619019983,-0.7332243,9.576807,-0.207697
121,1436619020003,-0.6943185,9.537901,-0.19153613
122,1436619020023,-0.6769605,9.560646,-0.207697
123,1436619020043,-0.7020996,9.576807,-0.24720132
124,1436619020063,-0.7032967,9.558251,-0.23762453
125,1436619020083,-0.6913257,9.549872,-0.15981296
126,1436619020103,-0.7469909,9.585187,-0.16938977
127,1436619020123,-0.7284359,9.572019,-0.16400282
128,1436619020144,-0.6931214,9.542689,-0.14724341
129,1436619020164,-0.6895301,9.5385,-0.19692309
130,1436619020184,-0.7236475,9.542689,-0.18674773
131,1436619020203,-0.7044938,9.533113,-0.21188685
132,1436619020223,-0.7386112,9.547478,-0.17357962
133,1436619020243,-0.7206547,9.593566,-0.13108255
134,1436619020263,-0.6865373,9.576807,-0.15502456
135,1436619020286,-0.6931214,9.583391,-0.21547815
136,1436619020304,-0.7086837,9.572617,-0.22385786
137,1436619020325,-0.712275,9.548675,-0.16400282
138,1436619020343,-0.7272388,9.527725,-0.1604115
139,1436619020396,-0.7038953,9.551069,-0.21906945
140,1436619020397,-0.6889315,9.561843,-0.19871874
141,1436619020406,-0.6703765,9.566033,-0.13706805
142,1436619020425,-0.7044938,9.566631,-0.13826515
143,1436619020444,-0.6877344,9.569026,-0.20350714
144,1436619020464,-0.6925228,9.568427,-0.20171149
145,1436619020483,-0.6655881,9.542689,-0.22146365
146,1436619020505,-0.66858083,9.549872,-0.22026655
147,1436619020523,-0.7098808,9.542689,-0.2693477
148,1436619020545,-0.7428011,9.570223,-0.21667525
149,1436619020568,-0.7146692,9.566033,-0.16460137
150,1436619020588,-0.6991069,9.53012,-0.2220622
151,1436619020604,-0.6781576,9.573814,-0.22864626
152,1436619020628,-0.729633,9.583989,-0.1945289
153,1436619020648,-0.7015011,9.582193,-0.19692309
154,1436619020668,-0.6799533,9.543886,-0.19931729
155,1436619020688,-0.6548142,9.557653,-0.28072014
156,1436619020705,-0.6380547,9.548675,-0.23762453
157,1436619020727,-0.6679823,9.555858,-0.26396075
158,1436619020748,-0.7164649,9.577405,-0.22325931
159,1436619020765,-0.7541735,9.553463,-0.19393034
160,1436619020788,-0.74758947,9.553463,-0.23163901
161,1436619020804,-0.7410054,9.57142,-0.25079262
162,1436619020825,-0.748188,9.562442,-0.219668
163,1436619020848,-0.7793127,9.572019,-0.13706805
164,1436619020866,-0.6775591,9.557653,-0.17118542
165,1436619020886,-0.62009823,9.572617,-0.28191724
166,1436619020905,-0.60453594,9.545084,-0.25079262
167,1436619020925,-0.6841431,9.507375,-0.23044191
168,1436619020948,-0.7206547,9.552865,-0.15741876
169,1436619020968,-0.7613561,9.607333,-0.06584055
170,1436619020985,-0.7392098,9.564238,-0.08678981
171,1436619021006,-0.7146692,9.55885,-0.19393034
172,1436619021035,-0.7254431,9.566631,-0.12749124
173,1436619021105,-0.6847417,9.595961,-0.073023155
174,1436619021106,-0.5506664,9.557653,-0.1945289
175,1436619021107,-0.5033809,9.505579,-0.2908955
176,1436619021119,-0.49200845,9.546879,-0.19812019
177,1436619021128,-0.5554548,9.5809965,-0.17058687
178,1436619021153,-0.7015011,9.574412,-0.18555063
179,1436619021165,-0.83976626,9.614515,-0.15442601
180,1436619021198,-0.81343,9.586982,-0.13227965
181,1436619021216,-0.7068881,9.556456,-0.109534726
182,1436619021225,-0.6667852,9.574412,-0.20649989
183,1436619021245,-0.62249243,9.544485,-0.350152
184,1436619021265,-0.557849,9.585187,-0.23463176
185,1436619021286,-0.57760113,9.554661,-0.28072014
186,1436619021306,-0.6757634,9.588778,-0.21906945
