id,attr_time,attr_x,attr_y,attr_z
1,1436622551005,9.878476,-0.15382746,0.046088383
2,1436622551027,9.915586,-0.2112883,0.047884032
3,1436622551047,9.911396,-0.22445641,0.0712275
4,1436622551066,9.925761,-0.19273324,0.05267244
5,1436622551085,9.911396,-0.13227965,0.050876785
6,1436622551142,9.909002,-0.12330139,0.05566519
7,1436622551143,9.883265,-0.13587095,0.05207389
8,1436622551144,9.885659,-0.1945289,0.05327099
9,1436622551164,9.9233675,-0.20470424,0.05686229
10,1436622551182,9.936536,-0.15382746,0.077213004
11,1436622551206,9.902418,-0.12749124,0.04189853
12,1436622551222,9.900024,-0.18016368,0.032920275
13,1436622551245,9.919178,-0.12509704,-0.0077811554
14,1436622551266,9.907805,-0.11791443,0.02932897
15,1436622551283,9.884461,-0.1352724,0.05865794
16,1436622551307,9.901221,-0.18315643,0.048482586
17,1436622551325,9.938332,-0.18914193,0.10115502
18,1436622551344,9.954493,-0.14784196,0.11252748
19,1436622551364,9.958083,-0.10295067,0.0688333
20,1436622551386,9.946113,-0.10354923,-0.018555064
21,1436622551404,9.918579,-0.14425065,-0.005985504
22,1436622551425,9.91439,-0.16340427,0.011971008
23,1436622551445,9.885659,-0.19871874,0.0724246
24,1436622551465,9.905411,-0.18495208,0.077213004
25,1436622551485,9.921572,-0.14425065,-0.011372458
26,1436622551504,9.920973,-0.107739076,-0.049081136
27,1436622551523,9.929952,-0.090979666,-0.079008654
28,1436622551545,9.956886,-0.076015905,-0.088585466
29,1436622551563,9.964069,-0.08738836,-0.06404489
30,1436622551583,9.922769,-0.13227965,-0.019153614
31,1436622551602,9.888652,-0.15562311,0.02813187
32,1436622551623,9.888053,-0.11312603,-0.008379706
33,1436622551645,9.894038,-0.061052144,-0.059855044
34,1436622551669,9.920973,-0.01436521,-0.06464344
35,1436622551686,9.950901,-0.006584055,-0.0700304
36,1436622551703,9.957485,-0.073621705,-0.0712275
37,1436622551726,9.928156,-0.10235212,-0.10354923
38,1436622551743,9.913192,-0.1340753,-0.0796072
39,1436622551763,9.920375,-0.1400608,-0.08140286
40,1436622551787,9.915586,-0.11192893,-0.0700304
41,1436622551864,9.916184,-0.060453594,-0.05327099
42,1436622551865,9.883863,-0.025139118,-0.046686932
43,1436622551866,9.9233675,-0.055066638,-0.093972415
44,1436622551867,9.929353,-0.08559271,-0.11133038
45,1436622551883,9.91798,-0.092176765,-0.12928689
46,1436622551904,9.918579,-0.092775315,-0.10235212
47,1436622551923,9.892841,-0.08619126,-0.15622166
48,1436622551947,9.933543,-0.010175358,-0.21547815
49,1436622551963,9.927557,-0.0047884034,-0.14604631
50,1436622551984,9.889849,-0.06404489,-0.16879122
51,1436622552009,9.915586,-0.1340753,-0.18375498
52,1436622552024,9.952697,-0.09935937,-0.1436521
53,1436622552046,9.960478,-0.025737667,-0.077213004
54,1436622552065,9.91798,-0.010773907,-0.1388637
55,1436622552087,9.894637,-0.046088383,-0.22864626
56,1436622552107,9.865907,-0.08140286,-0.22924481
57,1436622552127,9.848549,-0.110133275,-0.22505496
58,1436622552144,9.904813,-0.062249243,-0.20231004
59,1436622552166,9.935339,-0.06284779,-0.22924481
60,1436622552187,9.942521,-0.047884032,-0.24959552
61,1436622552207,9.958682,-0.053869538,-0.24241292
62,1436622552227,9.903615,-0.0712275,-0.24600422
63,1436622552243,9.867104,-0.077811554,-0.24001873
