id,attr_time,attr_x,attr_y,attr_z
1,1436620141511,-1.0253168,9.539697,-0.24720132
2,1436620141532,-1.0456676,9.523536,-0.2621651
3,1436620141551,-1.0498575,9.536105,-0.25019407
4,1436620141571,-1.0372878,9.507974,-0.26755205
5,1436620141589,-1.0480618,9.536704,-0.24779987
6,1436620141612,-1.0648212,9.509171,-0.25438392
7,1436620141632,-1.0779893,9.503185,-0.25378537
8,1436620141652,-1.0630256,9.540894,-0.24001873
9,1436620141672,-1.0827777,9.55885,-0.21068975
10,1436620141692,-1.091756,9.5253315,-0.22625206
11,1436620141711,-1.0875661,9.485229,-0.24301147
12,1436620141732,-1.0366893,9.513959,-0.24779987
13,1436620141753,-0.98820674,9.500193,-0.24959552
14,1436620141773,-0.97144735,9.52174,-0.2753332
15,1436620141792,-0.95947635,9.5253315,-0.2645593
16,1436620141812,-0.9983821,9.516354,-0.2621651
17,1436620141830,-1.0408791,9.546281,-0.25797522
18,1436620141858,-1.0456676,9.5492735,-0.24600422
19,1436620141940,-1.0576386,9.510966,-0.2136825
20,1436620141980,-1.039682,9.531317,-0.2621651
21,1436620141981,-1.0360907,9.520543,-0.22864626
22,1436620141982,-1.0103531,9.541492,-0.25737667
23,1436620141983,-0.9840169,9.521142,-0.24660277
24,1436620141984,-1.002572,9.53012,-0.24779987
25,1436620142046,-1.0175357,9.512163,-0.26036942
26,1436620142047,-1.0462662,9.534908,-0.2801216
27,1436620142048,-1.0450691,9.524135,-0.2645593
28,1436620142050,-1.0354922,9.527725,-0.2693477
29,1436620142090,-1.0259154,9.522937,-0.272939
30,1436620142091,-1.0289081,9.531916,-0.24660277
31,1436620142114,-1.0342951,9.522937,-0.24540567
32,1436620142129,-1.0462662,9.522937,-0.25558102
33,1436620142152,-1.0498575,9.522937,-0.25318682
34,1436620142169,-1.0121487,9.536704,-0.24540567
35,1436620142190,-0.997185,9.537302,-0.24839842
36,1436620142212,-0.99658644,9.536704,-0.28491
37,1436620142232,-1.0163386,9.530719,-0.27952304
38,1436620142252,-1.0336965,9.555858,-0.2669535
39,1436620142272,-1.0187328,9.52593,-0.2741361
40,1436620142291,-1.0181342,9.519944,-0.25917232
41,1436620142312,-1.0199299,9.502586,-0.24839842
42,1436620142333,-1.0109516,9.52174,-0.25917232
43,1436620142352,-0.985214,9.515755,-0.25198972
44,1436620142370,-0.99060094,9.559449,-0.26515785
45,1436620142391,-1.0049661,9.521142,-0.2681506
46,1436620142410,-1.0169371,9.502586,-0.26515785
47,1436620142429,-0.99658644,9.552865,-0.27234045
48,1436620142450,-1.0127473,9.500791,-0.28670564
49,1436620142472,-1.0319009,9.515156,-0.2669535
50,1436620142495,-1.0708067,9.54209,-0.25258827
51,1436620142512,-1.0767922,9.541492,-0.24720132
52,1436620142533,-1.0540473,9.527725,-0.30825347
53,1436620142550,-1.0217255,9.548077,-0.25737667
54,1436620142570,-0.94451255,9.522339,-0.24241292
55,1436620142590,-0.96306765,9.519944,-0.25917232
56,1436620142610,-0.97025025,9.534309,-0.29927522
