id,attr_time,attr_x,attr_y,attr_z
1,1436620141514,-1.34195,10.08318,0.866701
2,1436620141534,-1.3581109,10.07121,0.88166475
3,1436620141554,-1.3521254,10.075399,0.8619126
4,1436620141576,-1.3730747,10.064626,0.8900445
5,1436620141590,-1.3706805,10.080188,0.87208796
6,1436620141614,-1.3563153,10.097546,0.8583213
7,1436620141631,-1.3299791,10.080188,0.8619126
8,1436620141650,-1.3305776,10.067618,0.8607155
9,1436620141670,-1.3030443,10.05445,0.8559271
10,1436620141696,-1.3006501,10.064027,0.88286185
11,1436620141716,-1.3257892,10.077793,0.84934306
12,1436620141737,-1.3449428,10.1065235,0.8463503
13,1436620141754,-1.3150153,10.09156,0.8798691
14,1436620141771,-1.2940661,10.070611,0.87567925
15,1436620141791,-1.3634979,10.155605,0.80684596
16,1436620141811,-1.3760674,10.068815,0.9127894
17,1436620141835,-1.2785037,10.032902,0.95708215
18,1436620141912,-1.2916719,10.044873,0.8295909
19,1436620141913,-1.3748703,10.020332,0.84814596
20,1436620141914,-1.3485341,10.048465,0.8451532
21,1436620141915,-1.2797008,10.069414,0.79966336
22,1436620141932,-1.2629414,10.099341,0.8499416
23,1436620141953,-1.3204023,10.131663,0.8870517
24,1436620141972,-1.3605051,10.125677,0.88645315
25,1436620141992,-1.316811,10.065224,0.8678981
26,1436620142027,-1.323395,10.047267,0.84694886
27,1436620142031,-1.3940239,10.042479,0.8002619
28,1436620142052,-1.4257472,10.026319,0.83258367
29,1436620142073,-1.3563153,10.041881,0.825401
30,1436620142095,-1.2844892,10.065823,0.8487445
31,1436620142112,-1.3060371,10.089765,0.8690952
32,1436620142134,-1.3221979,10.084377,0.8834604
33,1436620142154,-1.3227965,10.083779,0.86131406
34,1436620142174,-1.3389573,10.088568,0.82779527
35,1436620142194,-1.3826514,10.088568,0.8379706
36,1436620142214,-1.4065934,10.079589,0.84934306
37,1436620142234,-1.4012065,10.081984,0.84694886
38,1436620142254,-1.3569138,10.061633,0.88645315
39,1436620142274,-1.3485341,10.070012,0.878672
40,1436620142293,-1.3305776,10.05864,0.8607155
41,1436620142314,-1.323395,10.064626,0.87567925
42,1436620142335,-1.3688848,10.063428,0.84814596
